symbol,code,name,sector[wstock : cn : daily]
SH600183,600183,SYKJ-生益科技,--
SH600184,600184,GDGF-光电股份,--
SH600185,600185,GLDC-格力地产,--
SH600186,600186,LHWJ-莲花味精,--
SH600187,600187,GZSW-国中水务,--
SH600188,600188,YZMY-兖州煤业,--
SH600189,600189,JLSG-吉林森工,--
SH600190,600190,JZG-锦州港,--
SH600191,600191,HZSY-华资实业,--
SH600192,600192,CCDG-长城电工,--
SH600193,600193,CXZY-创兴资源,--
SH600195,600195,ZMGF-中牧股份,--
SH600196,600196,FXYY-复星医药,--
SH600197,600197,YLT-伊力特,--
SH600198,600198,DTDX-大唐电信,--
SH600199,600199,JZZJ-金种子酒,--
SH600200,600200,JSWZ-江苏吴中,--
SH600201,600201,JYJT-金宇集团,--
SH600202,600202,HKD-哈空调,--
SH600203,600203,FRDZ-福日电子,--
SH600206,600206,YYXC-有研新材,--
SH600207,600207,ACGK-安彩高科,--
SH600208,600208,XHZB-新湖中宝,--
SH600209,600209,LDFZ-罗顿发展,--
SH600210,600210,ZJQY-紫江企业,--
SH600211,600211,XZYY-西藏药业,--
SH600212,600212,JQSY-江泉实业,--
SH600213,600213,YXKC-亚星客车,--
SH600215,600215,CCJK-长春经开,--
SH600216,600216,ZJYY-浙江医药,--
SH600217,600217,STQL-*ST秦岭,--
SH600218,600218,QCDL-全柴动力,--
SH600219,600219,NSLY-南山铝业,--
SH600220,600220,JSYG-江苏阳光,--
SH600221,600221,HNHK-海南航空,--
SH600222,600222,TLYY-太龙药业,--
SH600223,600223,LSZY-鲁商置业,--
SH600225,600225,TJSJ-天津松江,--
SH600226,600226,SHBK-升华拜克,--
SH600227,600227,CTH-赤天化,--
SH600228,600228,CJSH-昌九生化,--
SH600229,600229,QDJY-青岛碱业,--
SH600230,600230,CZDH-沧州大化,--
SH600231,600231,LGGF-凌钢股份,--
SH600232,600232,JYGF-金鹰股份,--
SH600233,600233,DYCS-大杨创世,--
SH600234,600234,SSWH-山水文化,--
SH600235,600235,MFTZ-民丰特纸,--
SH600236,600236,GGDL-桂冠电力,--
SH600237,600237,TFDZ-铜峰电子,--
SH600238,600238,HNYD-海南椰岛,--
SH600239,600239,YNCT-云南城投,--
SH600240,600240,HYDC-华业地产,--
SH600241,600241,SDWH-时代万恒,--
SH600242,600242,STZC-*ST中昌,--
SH600243,600243,QHHD-青海华鼎,--
SH600246,600246,WTDC-万通地产,--
SH600247,600247,STCC-*ST成城,--
SH600248,600248,YCHJ-延长化建,--
SH600249,600249,LMZ-两面针,--
SH600250,600250,NFGF-南纺股份,--
SH600251,600251,GNGF-冠农股份,--
SH600252,600252,ZHJT-中恒集团,--
SH600255,600255,XKCL-鑫科材料,--
SH600256,600256,GHNY-广汇能源,--
SH600257,600257,DHGF-大湖股份,--
SH600258,600258,SLJD-首旅酒店,--
SH600259,600259,GSYS-广晟有色,--
SH600260,600260,KLKJ-凯乐科技,--
SH600261,600261,YGZM-阳光照明,--
SH600262,600262,BFGF-北方股份,--
SH600265,600265,STJG-ST景谷,--
SH600266,600266,BJCJ-北京城建,--
SH600267,600267,HZYY-海正药业,--
SH600268,600268,GDNZ-国电南自,--
SH600269,600269,GYGS-赣粤高速,--
SH600270,600270,WYFZ-外运发展,--
SH600271,600271,HTXX-航天信息,--
SH600272,600272,KKSY-开开实业,--
SH600273,600273,JHNY-嘉化能源,--
SH600275,600275,WCY-武昌鱼,--
SH600276,600276,HRYY-恒瑞医药,--
SH600277,600277,YLNY-亿利能源,--
SH600278,600278,DFCY-东方创业,--
SH600279,600279,CQGJ-重庆港九,--
SH600280,600280,ZYSC-中央商场,--
SH600281,600281,THGF-太化股份,--
SH600282,600282,NGGF-南钢股份,--
SH600283,600283,QJSL-钱江水利,--
SH600284,600284,PDJS-浦东建设,--
SH600285,600285,LRZY-羚锐制药,--
SH600287,600287,JSST-江苏舜天,--
SH600288,600288,DHKJ-大恒科技,--
SH600289,600289,YYXT-亿阳信通,--
SH600290,600290,HYDQ-华仪电气,--
SH600291,600291,XSGF-西水股份,--
SH600292,600292,ZDYD-中电远达,--
SH600293,600293,SXXC-三峡新材,--
SH600295,600295,EEDS-鄂尔多斯,--
SH600297,600297,MLYY-美罗药业,--
SH600298,600298,AQJM-安琪酵母,--
SH600299,600299,LXXC-蓝星新材,--
SH600300,600300,WWGF-维维股份,--
SH600301,600301,STNH-*ST南化,--
SH600302,600302,BZGF-标准股份,--
SH600303,600303,SGGF-曙光股份,--
SH600305,600305,HSCY-恒顺醋业,--
SH600306,600306,SYC-商业城,--
SH600307,600307,JGHX-酒钢宏兴,--
SH600308,600308,HTGF-华泰股份,--
SH600309,600309,WHHX-万华化学,--
SH600310,600310,GDDL-桂东电力,--
SH600311,600311,RHSY-荣华实业,--
SH600312,600312,PGDQ-平高电气,--
SH600313,600313,NFZY-农发种业,--
SH600315,600315,SHJH-上海家化,--
SH600316,600316,HDHK-洪都航空,--
SH600317,600317,YKG-营口港,--
SH600318,600318,CDGF-巢东股份,--
SH600319,600319,YXHX-亚星化学,--
SH600320,600320,ZHZG-振华重工,--
SH600321,600321,GDJS-国栋建设,--
SH600322,600322,TFFZ-天房发展,--
SH600323,600323,HLHJ-瀚蓝环境,--
SH600325,600325,HFGF-华发股份,--
SH600326,600326,XZTL-西藏天路,--
SH600327,600327,DDF-大东方,--
SH600328,600328,LTSY-兰太实业,--
SH600329,600329,ZXYY-中新药业,--
SH600330,600330,TTGF-天通股份,--
SH600331,600331,HDGF-宏达股份,--
SH600332,600332,BYS-白云山,--
SH600333,600333,CCRQ-长春燃气,--
SH600335,600335,GJQC-国机汽车,--
SH600336,600336,AKM-澳柯玛,--
SH600337,600337,MKJJ-美克家居,--
SH600338,600338,XZZF-西藏珠峰,--
SH600339,600339,TLGX-天利高新,--
SH600340,600340,HXXF-华夏幸福,--
SH600343,600343,HTDL-航天动力,--
SH600345,600345,CJTX-长江通信,--
SH600346,600346,DXS-大橡塑,--
SH600348,600348,YQMY-阳泉煤业,--
SH600350,600350,SDGS-山东高速,--
SH600351,600351,YBYY-亚宝药业,--
SH600352,600352,ZJLS-浙江龙盛,--
SH600353,600353,XGGF-旭光股份,--
SH600354,600354,DHZY-敦煌种业,--
SH600355,600355,JLDZ-精伦电子,--
SH600356,600356,HFZY-恒丰纸业,--
SH600358,600358,GLLH-国旅联合,--
SH600359,600359,XNKF-新农开发,--
SH600360,600360,HWDZ-华微电子,--
SH600361,600361,HLZC-华联综超,--
SH600362,600362,JXTY-江西铜业,--
SH600363,600363,LCGD-联创光电,--
SH600365,600365,TPGF-通葡股份,--
SH600366,600366,NBYS-宁波韵升,--
SH600367,600367,HXFZ-红星发展,--
SH600368,600368,WZJT-五洲交通,--
SH600369,600369,XNZQ-西南证券,--
SH600370,600370,SFX-三房巷,--
SH600371,600371,WXDN-万向德农,--
SH600372,600372,ZHDZ-中航电子,--
SH600373,600373,ZWCM-中文传媒,--
SH600375,600375,HLXM-华菱星马,--
SH600376,600376,SKGF-首开股份,--
SH600377,600377,NHGS-宁沪高速,--
SH600378,600378,TKGF-天科股份,--
SH600379,600379,BGGF-宝光股份,--
SH600380,600380,JKY-健康元,--
SH600381,600381,XCKY-贤成矿业,--
SH600382,600382,GDMZ-广东明珠,--
SH600383,600383,JDJT-金地集团,--
SH600385,600385,STJT-ST金泰,--
SH600386,600386,BBCM-北巴传媒,--
SH600387,600387,HYGF-海越股份,--
SH600388,600388,LJHB-龙净环保,--
SH600389,600389,JSGF-江山股份,--
SH600390,600390,JRKJ-金瑞科技,--
SH600391,600391,CFKJ-成发科技,--
SH600392,600392,SHZY-盛和资源,--
SH600393,600393,DHSY-东华实业,--
SH600395,600395,PJGF-盘江股份,--
SH600396,600396,JSGF-金山股份,--
SH600397,600397,AYMY-安源煤业,--
SH600398,600398,HLZJ-海澜之家,--
SH600399,600399,FSTG-抚顺特钢,--
SH600400,600400,HDGF-红豆股份,--
SH600401,600401,STHR-*ST海润,--
SH600403,600403,DYNY-大有能源,--
SH600405,600405,DLY-动力源,--
SH600406,600406,GDNR-国电南瑞,--
SH600408,600408,STAT-*ST安泰,--
SH600409,600409,SYHG-三友化工,--
SH600410,600410,HSTC-华胜天成,--
SH600415,600415,XSPC-小商品城,--
SH600416,600416,XDGF-湘电股份,--
SH600418,600418,JHQC-江淮汽车,--
SH600419,600419,TRRY-天润乳业,--
SH600420,600420,XDZY-现代制药,--
