symbol,code,name,sector[wstock : cn : daily]
SZ000551,000551,CYKJ-创元科技,--
SZ000552,000552,JYMD-靖远煤电,--
SZ000553,000553,SLDA-沙隆达Ａ,--
SZ000554,000554,TSSY-泰山石油,--
SZ000555,000555,SZXX-神州信息,--
SZ000557,000557,*STGX-*ST广夏,--
SZ000558,000558,LYZY-莱茵置业,--
SZ000559,000559,WXQC-万向钱潮,--
SZ000560,000560,KBDA-昆百大Ａ,--
SZ000561,000561,FHDZ-烽火电子,--
SZ000562,000562,HYZQ-宏源证券,--
SZ000563,000563,SGTA-陕国投Ａ,--
SZ000564,000564,XAMS-西安民生,--
SZ000565,000565,YSX-渝三峡Ａ,--
SZ000566,000566,HNHY-海南海药,--
SZ000567,000567,HDGF-海德股份,--
SZ000568,000568,ZZLJ-泸州老窖,--
SZ000570,000570,SCCA-苏常柴Ａ,--
SZ000571,000571,XDZA-新大洲Ａ,--
SZ000572,000572,HMQC-海马汽车,--
SZ000573,000573,YHYA-粤宏远Ａ,--
SZ000576,000576,GDGH-广东甘化,--
SZ000581,000581,WZGK-威孚高科,--
SZ000582,000582,BBWG-北部湾港,--
SZ000584,000584,YLKG-友利控股,--
SZ000585,000585,DBDQ-东北电气,--
SZ000586,000586,HYTX-汇源通信,--
SZ000587,000587,JYZB-金叶珠宝,--
SZ000589,000589,QLTA-黔轮胎Ａ,--
SZ000590,000590,ZGGH-紫光古汉,--
SZ000591,000591,TJG-桐君阁,--
SZ000592,000592,PTFZ-平潭发展,--
SZ000593,000593,DTRQ-大通燃气,--
SZ000594,000594,*STGH-*ST国恒,--
SZ000595,000595,XBZC-西北轴承,--
SZ000596,000596,GJGJ-古井贡酒,--
SZ000597,000597,DBZY-东北制药,--
SZ000598,000598,XRTZ-兴蓉投资,--
SZ000599,000599,QDSX-青岛双星,--
SZ000600,000600,JTNY-建投能源,--
SZ000601,000601,SNGF-韶能股份,--
SZ000603,000603,SDKY-盛达矿业,--
SZ000605,000605,BHGF-渤海股份,--
SZ000606,000606,QHMJ-青海明胶,--
SZ000607,000607,HZKG-华智控股,--
SZ000608,000608,YGGF-阳光股份,--
SZ000609,000609,MSGF-绵世股份,--
SZ000610,000610,XALY-西安旅游,--
SZ000611,000611,NMFZ-内蒙发展,--
SZ000612,000612,JZWF-焦作万方,--
SZ000613,000613,DDHA-大东海A,--
SZ000615,000615,HBJH-湖北金环,--
SZ000616,000616,YCTZ-亿城投资,--
SZ000617,000617,SYJC-石油济柴,--
SZ000619,000619,HLXC-海螺型材,--
SZ000620,000620,XHL-新华联,--
SZ000622,000622,HLSY-恒立实业,--
SZ000623,000623,JLAD-吉林敖东,--
SZ000625,000625,CAQC-长安汽车,--
SZ000626,000626,RYJT-如意集团,--
SZ000627,000627,TMJT-天茂集团,--
SZ000628,000628,GXFZ-高新发展,--
SZ000629,000629,PGFZ-攀钢钒钛,--
SZ000630,000630,TLYS-铜陵有色,--
SZ000631,000631,SFHY-顺发恒业,--
SZ000632,000632,SMJT-三木集团,--
SZ000633,000633,HJTZ-合金投资,--
SZ000635,000635,YLT-英力特,--
SZ000636,000636,FHGK-风华高科,--
SZ000637,000637,MHSH-茂化实华,--
SZ000638,000638,WFFZ-万方发展,--
SZ000639,000639,XWSP-西王食品,--
SZ000650,000650,RHYY-仁和药业,--
SZ000651,000651,GLDQ-格力电器,--
SZ000652,000652,TDGF-泰达股份,--
SZ000655,000655,JLKY-金岭矿业,--
SZ000656,000656,JKGF-金科股份,--
SZ000657,000657,ZWGX-中钨高新,--
SZ000659,000659,*STZF-*ST中富,--
SZ000661,000661,CCGX-长春高新,--
SZ000662,000662,SZT-索芙特,--
SZ000663,000663,YALY-永安林业,--
SZ000665,000665,HBGD-湖北广电,--
SZ000666,000666,JWFJ-经纬纺机,--
SZ000667,000667,MHJT-美好集团,--
SZ000668,000668,RFKG-荣丰控股,--
SZ000669,000669,JHNY-金鸿能源,--
SZ000670,000670,YFW-盈方微,--
SZ000671,000671,YGC-阳光城,--
SZ000672,000672,SFSN-上峰水泥,--
SZ000673,000673,DDDF-当代东方,--
SZ000676,000676,SDGK-思达高科,--
SZ000677,000677,HTHL-恒天海龙,--
SZ000678,000678,XYZC-襄阳轴承,--
SZ000679,000679,DLYY-大连友谊,--
SZ000680,000680,STGF-山推股份,--
SZ000681,000681,SJZG-视觉中国,--
SZ000682,000682,DFDZ-东方电子,--
SZ000683,000683,YXNY-远兴能源,--
SZ000685,000685,ZSGY-中山公用,--
SZ000686,000686,DBZQ-东北证券,--
SZ000687,000687,HTTE-恒天天鹅,--
SZ000688,000688,JXKY-建新矿业,--
SZ000690,000690,BXNY-宝新能源,--
SZ000691,000691,YTSY-亚太实业,--
SZ000692,000692,HTRD-惠天热电,--
SZ000693,000693,HZZN-华泽钴镍,--
SZ000695,000695,BHNY-滨海能源,--
SZ000697,000697,LSYS-炼石有色,--
SZ000698,000698,SYHG-沈阳化工,--
SZ000700,000700,MSKJ-模塑科技,--
SZ000701,000701,XMXD-厦门信达,--
SZ000702,000702,ZHKJ-正虹科技,--
SZ000703,000703,HYSH-恒逸石化,--
SZ000705,000705,ZJZY-浙江震元,--
SZ000707,000707,SHKJ-双环科技,--
SZ000708,000708,DYTG-大冶特钢,--
SZ000709,000709,HBGT-河北钢铁,--
SZ000710,000710,TXYB-天兴仪表,--
SZ000711,000711,JLKJ-京蓝科技,--
SZ000712,000712,JLGF-锦龙股份,--
SZ000713,000713,FLZY-丰乐种业,--
SZ000715,000715,ZXSY-中兴商业,--
SZ000716,000716,HZM-黑芝麻,--
SZ000717,000717,SGSS-韶钢松山,--
SZ000718,000718,SNHQ-苏宁环球,--
SZ000719,000719,DDCM-大地传媒,--
