symbol,code,name,sector[shareinvestor : sg : daily]
539.SI,539,CPH Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
540.SI,540,Tung Lok Restaurants (2000) Ltd,Hotels | Restaurants and Leisure,Consumer Services
541.SI,541,Abundance International Limited,Commercial Services and Supplies,Commercial and Professional Services
543.SI,543,Noel Gifts International Ltd.,Specialty Retail,Retailing
544.SI,544,CSE Global Limited,IT Services,Software and Services
545.SI,545,Vallianz Holdings Limited,Energy Equipment and Services,Energy
546.SI,546,Medtecs International Corporation Limited,Healthcare Equipment and Supplies,Healthcare Equipment and Services
547.SI,547,Nobel Design Holdings Ltd,Specialty Retail,Retailing
554.SI,554,King Wan Corporation Limited,Construction and Engineering,Capital Goods
557.SI,557,Viking Offshore and Marine Limited,Energy Equipment and Services,Energy
558.SI,558,UMS Holdings Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
561.SI,561,Teckwah Industrial Corporation Ltd,Commercial Services and Supplies,Commercial and Professional Services
564.SI,564,Spindex Industries Limited,Machinery,Capital Goods
566.SI,566,SHS Holdings Ltd.,Oil | Gas and Consumable Fuels,Energy
567.SI,567,Colex Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
569.SI,569,Vicplas International Ltd,Healthcare Equipment and Supplies,Healthcare Equipment and Services
570.SI,570,Transit-Mixed Concrete Ltd,Construction Materials,Materials
571.SI,571,International Press Softcom Limited,IT Services,Software and Services
573.SI,573,Challenger Technologies Limited,Specialty Retail,Retailing
574.SI,574,TSH Corporation Limited,Household Durables,Consumer Durables and Apparel
575.SI,575,ASTI Holdings Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
578.SI,578,KS Energy Limited,Trading Companies and Distributors,Capital Goods
579.SI,579,Oceanus Group Limited,Food Products,Food | Beverage and Tobacco
580.SI,580,Santak Holdings Limited,Machinery,Capital Goods
581.SI,581,ITE Electric Co Ltd,Trading Companies and Distributors,Capital Goods
583.SI,583,Progen Holdings Limited,Construction and Engineering,Capital Goods
584.SI,584,OEL (Holdings) Limited,Machinery,Capital Goods
585.SI,585,Asian Micro Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
586.SI,586,TMC Education Corporation Ltd,Diversified Consumer Services,Consumer Services
588.SI,588,Health Management International Ltd,Healthcare Providers and Services,Healthcare Equipment and Services
591.SI,591,Innovalues Limited,Auto Components,Automobiles and Components
593.SI,593,Lee Metal Group Ltd,Metals and Mining,Materials
594.SI,594,Loyz Energy Limited,Oil | Gas and Consumable Fuels,Energy
595.SI,595,GKE Corporation Limited,Air Freight and Logistics,Transportation
596.SI,596,Pavillon Holdings Ltd.,Hotels | Restaurants and Leisure,Consumer Services
5AE.SI,5AE,Pollux Properties Ltd.,Real Estate Management and Development,Real Estate
5AI.SI,5AI,Sunlight Group Hldg Ltd,Electrical Equipment,Capital Goods
5AL.SI,5AL,Annica Holdings Limited,Energy Equipment and Services,Energy
5AM.SI,5AM,Asiatravel.com Holdings Ltd,Hotels | Restaurants and Leisure,Consumer Services
5AU.SI,5AU,AP Oil International Limited,Chemicals,Materials
5BI.SI,5BI,Polaris Ltd.,Diversified Telecommunication Services,Telecommunication Services
5BS.SI,5BS,Sen Yue Holdings Limited,Chemicals,Materials
5CF.SI,5CF,OKP Holdings Limited,Construction and Engineering,Capital Goods
5CJ.SI,5CJ,Chinese Global Investors Group Ltd.,Building Products,Capital Goods
5CN.SI,5CN,Sinwa Limited,Transportation Infrastructure,Transportation
5CP.SI,5CP,Silverlake Axis Ltd,Software,Software and Services
5CQ.SI,5CQ,Technics Oil & Gas Limited,Energy Equipment and Services,Energy
5CR.SI,5CR,Asiatic Group (Holdings) Limited,Trading Companies and Distributors,Capital Goods
5CT.SI,5CT,ecoWise Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
5DA.SI,5DA,BreadTalk Group Limited,Food and Staples Retailing,Food and Staples Retailing
