symbol,code,name,sector[shareinvestor : sg : daily]
B58.SI,B58,Banyan Tree Holdings Limited,Hotels | Restaurants and Leisure,Consumer Services
B61.SI,B61,Bukit Sembawang Estates Limited,Real Estate Management and Development,Real Estate
B69.SI,B69,Broadway Industrial Group Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
B73.SI,B73,Global Investments Limited,Capital Markets,Diversified Financials
B7K.SI,B7K,Sin Ghee Huat Corporation Ltd.,Trading Companies and Distributors,Capital Goods
B9S.SI,B9S,CosmoSteel Holdings Limited,Energy Equipment and Services,Energy
BAC.SI,BAC,Camsing Healthcare Limited,Distributors,Retailing
BAI.SI,BAI,S i2i Limited,Diversified Telecommunication Services,Telecommunication Services
BAZ.SI,BAZ,Lion Asiapac Limited,Construction Materials,Materials
BBP.SI,BBP,Hor Kew Corporation Limited,Construction and Engineering,Capital Goods
BBW.SI,BBW,Azeus Systems Holdings Ltd.,IT Services,Software and Services
BCD.SI,BCD,China Yuanbang Property Holdings Limited,Real Estate Management and Development,Real Estate
BCV.SI,BCV,Qian Hu Corporation Limited,Leisure Products,Consumer Durables and Apparel
BCX.SI,BCX,China Flexible Packaging Holdings Limited,Containers and Packaging,Materials
BCY.SI,BCY,Powermatic Data Systems Limited,Communications Equipment,Technology Hardware and Equipment
BCZ.SI,BCZ,Travelite Holdings Ltd.,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
BDA.SI,BDA,PNE Industries Ltd,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BDF.SI,BDF,Excelpoint Technology Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BDN.SI,BDN,Ryobi Kiso Holdings Ltd.,Construction and Engineering,Capital Goods
BDR.SI,BDR,Willas-Array Electronics (Holdings) Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BDU.SI,BDU,Federal International (2000) Ltd,Trading Companies and Distributors,Capital Goods
BDV.SI,BDV,Fischer Tech Ltd,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BDX.SI,BDX,GSH Corporation Limited,Real Estate Management and Development,Real Estate
BEC.SI,BEC,BRC Asia Limited,Building Products,Capital Goods
BEH.SI,BEH,China International Holdings Limited,Water Utilities,Utilities
BEI.SI,BEI,LHT Holdings Limited,Paper and Forest Products,Materials
BESU.SI,BESU,Indiabulls Properties Investment Trust,Real Estate Management and Development,Real Estate
BEV.SI,BEV,Swing Media Technology Group Limited,Technology Hardware | Storage and Peripherals,Technology Hardware and Equipment
BEW.SI,BEW,JB Foods Limited,Food Products,Food | Beverage and Tobacco
BEZ.SI,BEZ,Beng Kuang Marine Limited,Commercial Services and Supplies,Commercial and Professional Services
BFI.SI,BFI,Tiong Seng Holdings Limited,Construction and Engineering,Capital Goods
BFK.SI,BFK,Pharmesis International Ltd.,Pharmaceuticals,Pharmaceuticals | Biotechnology and Life Sciences
BFT.SI,BFT,Fabchem China Limited,Chemicals,Materials
BFU.SI,BFU,Tye Soon Limited,Distributors,Retailing
BGK.SI,BGK,Swiber Holdings Limited,Energy Equipment and Services,Energy
BGO.SI,BGO,Universal Resource And Services Limited,Energy Equipment and Services,Energy
BHD.SI,BHD,China Mining International Limited,Metals and Mining,Materials
BHK.SI,BHK,SIIC Environment Holdings Ltd.,Water Utilities,Utilities
BHO.SI,BHO,Top Global Limited,Real Estate Management and Development,Real Estate
BHQ.SI,BHQ,Sunningdale Tech Ltd.,Machinery,Capital Goods
BHU.SI,BHU,SUTL Enterprise Limited,Hotels | Restaurants and Leisure,Consumer Services
BIP.SI,BIP,Vibrant Group Limited,Air Freight and Logistics,Transportation
BIX.SI,BIX,Ellipsiz Ltd,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
BJD.SI,BJD,VibroPower Corporation Limited,Electrical Equipment,Capital Goods
BJE.SI,BJE,Jaya Holdings Limited,Machinery,Capital Goods
BJL.SI,BJL,LCT  Holdings Limited,Communications Equipment,Technology Hardware and Equipment
BJV.SI,BJV,Yamada Green Resources Limited,Food Products,Food | Beverage and Tobacco
BJW.SI,BJW,Shinvest Holding Ltd.,Machinery,Capital Goods
BJZ.SI,BJZ,Koda Ltd,Household Durables,Consumer Durables and Apparel
BKA.SI,BKA,Sin Heng Heavy Machinery Limited,Trading Companies and Distributors,Capital Goods
BKB.SI,BKB,LH Group Limited,Metals and Mining,Materials
BKK.SI,BKK,Luxking Group Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
BKV.SI,BKV,Dukang Distillers Holdings Limited,Beverages,Food | Beverage and Tobacco
BKW.SI,BKW,Datapulse Technology Limited,Technology Hardware | Storage and Peripherals,Technology Hardware and Equipment
BKX.SI,BKX,Yongmao Holdings Limited,Machinery,Capital Goods
BKY.SI,BKY,Avi-Tech Electronics Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
BKZ.SI,BKZ,Suntar Eco-City Limited,Pharmaceuticals,Pharmaceuticals | Biotechnology and Life Sciences
BLA.SI,BLA,Union Steel Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
BLH.SI,BLH,Hai Leck Holdings Limited,Energy Equipment and Services,Energy
BLL.SI,BLL,PSL Holdings Limited,Construction and Engineering,Capital Goods
BLR.SI,BLR,Darco Water Technologies Limited,Machinery,Capital Goods
BLS.SI,BLS,Hotung Investment Holdings Limited,Capital Markets,Diversified Financials
BLT.SI,BLT,K1 Ventures Limited,Diversified Financial Services,Diversified Financials
BLU.SI,BLU,GRP Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BLW.SI,BLW,Global Palm Resources Holdings Limited,Food Products,Food | Beverage and Tobacco
BLZ.SI,BLZ,Advanced Holdings Ltd.,Energy Equipment and Services,Energy
BMA.SI,BMA,Weiye Holdings Limited,Real Estate Management and Development,Real Estate
BMGU.SI,BMGU,BHG Retail REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
BMH.SI,BMH,Hupsteel Limited,Trading Companies and Distributors,Capital Goods
BMT.SI,BMT,New Silkroutes Group Limited,Oil | Gas and Consumable Fuels,Energy
BN2.SI,BN2,Valuetronics Holdings Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BN4.SI,BN4,Keppel Corporation Limited,Industrial Conglomerates,Capital Goods
BNE.SI,BNE,Kencana Agri Limited,Food Products,Food | Beverage and Tobacco
BOL.SI,BOL,Memtech International Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BOU.SI,BOU,Informatics Education Ltd.,Diversified Consumer Services,Consumer Services
BPF.SI,BPF,YHI International Limited,Distributors,Retailing
BQC.SI,BQC,A-Smart Holdings Ltd.,Commercial Services and Supplies,Commercial and Professional Services
BQD.SI,BQD,Envictus International Holdings Limited,Food and Staples Retailing,Food and Staples Retailing
BQF.SI,BQF,XMH Holdings Ltd.,Trading Companies and Distributors,Capital Goods
BQI.SI,BQI,Asia Fashion Holdings Limited,Construction Materials,Materials
BQM.SI,BQM,Tiong Woon Corporation Holding Ltd,Commercial Services and Supplies,Commercial and Professional Services
BQN.SI,BQN,BH Global Corporation Limited,Electrical Equipment,Capital Goods
BQO.SI,BQO,Delong Holdings Limited,Metals and Mining,Materials
BQP.SI,BQP,Southern Packaging Group Limited,Containers and Packaging,Materials
BRD.SI,BRD,Sapphire Corporation Limited,Metals and Mining,Materials
BRR.SI,BRR,The Stratech Group Limited,Software,Software and Services
BRS.SI,BRS,USP Group Limited,Oil | Gas and Consumable Fuels,Energy
BS6.SI,BS6,Yangzijiang Shipbuilding (Holdings) Ltd.,Machinery,Capital Goods
BSL.SI,BSL,Raffles Medical Group Ltd,Healthcare Providers and Services,Healthcare Equipment and Services
BTE.SI,BTE,Bund Center Investment Ltd,Real Estate Management and Development,Real Estate
BTF.SI,BTF,Debao Property Development Ltd.,Real Estate Management and Development,Real Estate
BTG.SI,BTG,HG Metal Manufacturing Limited,Trading Companies and Distributors,Capital Goods
BTJ.SI,BTJ,A-Sonic Aerospace Limited,Air Freight and Logistics,Transportation
BTM.SI,BTM,Penguin International Limited,Marine,Transportation
BTOU.SI,BTOU,Manulife US REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
BTP.SI,BTP,Baker Technology Limited,Energy Equipment and Services,Energy
BTX.SI,BTX,Anchun International Holdings Ltd.,Chemicals,Materials
BTY.SI,BTY,Full Apex (Holdings) Limited,Containers and Packaging,Materials
BUOU.SI,BUOU,Frasers Logistics and Industrial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
BVA.SI,BVA,Top Glove Corporation Berhad,Healthcare Equipment and Supplies,Healthcare Equipment and Services
BVQ.SI,BVQ,Procurri Corporation Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
BWCU.SI,BWCU,EC World REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
BWM.SI,BWM,China Jinjiang Environment Holding Company Limited,Independent Power and Renewable Electricity Producers,Utilities
BXE.SI,BXE,CDW Holding Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
C04.SI,C04,CASA Holdings Limited,Distributors,Retailing
C05.SI,C05,Chemical Industries (Far East) Limited,Chemicals,Materials
C06.SI,C06,CSC Holdings Limited,Construction and Engineering,Capital Goods
C07.SI,C07,Jardine Cycle & Carriage Limited,Distributors,Retailing
C09.SI,C09,City Developments Limited,Real Estate Management and Development,Real Estate
C13.SI,C13,CH Offshore Ltd.,Energy Equipment and Services,Energy
C14.SI,C14,CWT Limited,Air Freight and Logistics,Transportation
C29.SI,C29,Chip Eng Seng Corporation Ltd,Construction and Engineering,Capital Goods
C2PU.SI,C2PU,Parkway Life Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
C31.SI,C31,CapitaLand Limited,Real Estate Management and Development,Real Estate
C33.SI,C33,Chuan Hup Holdings Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
C38U.SI,C38U,CapitaLand Mall Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
C41.SI,C41,Cortina Holdings Limited,Specialty Retail,Retailing
C50.SI,C50,Cheung Woh Technologies Ltd,Machinery,Capital Goods
C52.SI,C52,ComfortDelGro Corporation Limited,Road and Rail,Transportation
C61U.SI,C61U,CapitaLand Commercial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
C6L.SI,C6L,Singapore Airlines Limited,Airlines,Transportation
C76.SI,C76,Creative Technology Ltd.,Technology Hardware | Storage and Peripherals,Technology Hardware and Equipment
C8R.SI,C8R,Jiutian Chemical Group Limited,Chemicals,Materials
C92.SI,C92,China Haida Ltd.,Building Products,Capital Goods
C9Q.SI,C9Q,Sinostar PEC Holdings Limited,Oil | Gas and Consumable Fuels,Energy
CC3.SI,CC3,StarHub Ltd.,Wireless Telecommunication Services,Telecommunication Services
CH8.SI,CH8,China Sunsine Chemical Holdings Ltd.,Chemicals,Materials
CY6U.SI,CY6U,Ascendas India Trust,Real Estate Management and Development,Real Estate
CZ4.SI,CZ4,Dutech Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
D01.SI,D01,Dairy Farm International Holdings Limited,Food and Staples Retailing,Food and Staples Retailing
D03.SI,D03,Del Monte Pacific Limited,Food Products,Food | Beverage and Tobacco
D05.SI,D05,DBS Group Holdings Ltd,Banks,Banks
D11.SI,D11,Design Studio Group Ltd.,Building Products,Capital Goods
D1R.SI,D1R,ARA Asset Management Limited,Capital Markets,Diversified Financials
D2U.SI,D2U,Cacola Furniture International Limited,Household Durables,Consumer Durables and Apparel
D4N.SI,D4N,China New Town Development Company Limited,Real Estate Management and Development,Real Estate
D50.SI,D50,China Great Land Holdings Ltd.,Construction and Engineering,Capital Goods
D5IU.SI,D5IU,Lippo Malls Indonesia Retail Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
D6U.SI,D6U,Dynamic Colours Limited,Chemicals,Materials
D79.SI,D79,C&G Environmental Protection Holdings Limited,Independent Power and Renewable Electricity Producers,Utilities
D8DU.SI,D8DU,First Ship Lease Trust,Diversified Financial Services,Diversified Financials
DM0.SI,DM0,Hanwell Holdings Limited,Food Products,Food | Beverage and Tobacco
DU4.SI,DU4,Mermaid Maritime Public Company Limited,Energy Equipment and Services,Energy
E16.SI,E16,Elec & Eltek International Company Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
E27.SI,E27,Eucon Holding Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
E28.SI,E28,Frencken Group Limited,Machinery,Capital Goods
E3B.SI,E3B,Wee Hur Holdings Ltd.,Construction and Engineering,Capital Goods
E5H.SI,E5H,Golden Agri-Resources Ltd,Food Products,Food | Beverage and Tobacco
E6R.SI,E6R,Samko Timber Limited,Paper and Forest Products,Materials
E8Z.SI,E8Z,Roxy-Pacific Holdings Limited,Real Estate Management and Development,Real Estate
E90.SI,E90,China Sky Chemical Fibre Co.  Ltd.,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
E9L.SI,E9L,Joyas International Holdings Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
EB5.SI,EB5,First Resources Limited,Food Products,Food | Beverage and Tobacco
EB7.SI,EB7,KTL Global Limited,Trading Companies and Distributors,Capital Goods
EH5.SI,EH5,United Overseas Australia Ltd,Real Estate Management and Development,Real Estate
ER0.SI,ER0,KSH Holdings Limited,Construction and Engineering,Capital Goods
F03.SI,F03,Food Empire Holdings Limited,Food Products,Food | Beverage and Tobacco
F10.SI,F10,F J Benjamin Holdings Ltd,Specialty Retail,Retailing
F13.SI,F13,Fu Yu Corporation Limited,Machinery,Capital Goods
F17.SI,F17,GuocoLand Limited,Real Estate Management and Development,Real Estate
F1E.SI,F1E,Low Keng Huat (Singapore) Limited,Construction and Engineering,Capital Goods
F25U.SI,F25U,Fortune Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
F31.SI,F31,Fragrance Group Limited,Real Estate Management and Development,Real Estate
F34.SI,F34,Wilmar International Limited,Food Products,Food | Beverage and Tobacco
F3V.SI,F3V,MMP Resources Limited,Construction and Engineering,Capital Goods
F83.SI,F83,COSCO Corporation (Singapore) Limited,Machinery,Capital Goods
F86.SI,F86,MYP Ltd.,Real Estate Management and Development,Real Estate
F99.SI,F99,Fraser and Neave Limited,Beverages,Food | Beverage and Tobacco
F9D.SI,F9D,Boustead Singapore Limited,Energy Equipment and Services,Energy
FP1.SI,FP1,Dapai International Holdings Co. Ltd.,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
FQ7.SI,FQ7,Jasper Investments Limited,Energy Equipment and Services,Energy
FQ8.SI,FQ8,China Sports International Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
G07.SI,G07,Great Eastern Holdings Limited,Insurance,Insurance
G08.SI,G08,GP Batteries International Limited,Household Products,Household and Personal Products
G0I.SI,G0I,Nam Lee Pressed Metal Industries Limited,Building Products,Capital Goods
G10.SI,G10,Yuexiu Property Company Limited,Real Estate Management and Development,Real Estate
G11.SI,G11,Global Tech (Holdings) Limited,Commercial Services and Supplies,Commercial and Professional Services
G13.SI,G13,Genting Singapore PLC,Hotels | Restaurants and Leisure,Consumer Services
G20.SI,G20,GP Industries Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
G41.SI,G41,G. K. Goh Holdings Limited,Capital Markets,Diversified Financials
G50.SI,G50,Grand Banks Yachts Limited,Machinery,Capital Goods
G92.SI,G92,China Aviation Oil (Singapore) Corporation Ltd,Oil | Gas and Consumable Fuels,Energy
GU5.SI,GU5,China Kunda Technology Holdings Limited,Machinery,Capital Goods
H02.SI,H02,Haw Par Corporation Limited,Pharmaceuticals,Pharmaceuticals | Biotechnology and Life Sciences
H07.SI,H07,Stamford Land Corporation Ltd,Hotels | Restaurants and Leisure,Consumer Services
H12.SI,H12,Hotel Royal Limited,Hotels | Restaurants and Leisure,Consumer Services
H13.SI,H13,Ho Bee Land Limited,Real Estate Management and Development,Real Estate
H15.SI,H15,Hotel Properties Limited,Hotels | Restaurants and Leisure,Consumer Services
H16.SI,H16,Huan Hsin Holdings Ltd,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
H17.SI,H17,Hi-P International Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
H18.SI,H18,Hotel Grand Central Limited,Hotels | Restaurants and Leisure,Consumer Services
H19.SI,H19,Hwa Hong Corporation Limited,Real Estate Management and Development,Real Estate
H20.SI,H20,Hoe Leong Corporation Ltd.,Trading Companies and Distributors,Capital Goods
H22.SI,H22,Hong Leong Asia Ltd.,Machinery,Capital Goods
H27.SI,H27,HLH Group Limited,Food Products,Food | Beverage and Tobacco
H30.SI,H30,Hong Fok Corporation Limited,Real Estate Management and Development,Real Estate
H78.SI,H78,Hongkong Land Holdings Limited,Real Estate Management and Development,Real Estate
I06.SI,I06,Intraco Limited,Trading Companies and Distributors,Capital Goods
I07.SI,I07,ISDN Holdings Limited,Electrical Equipment,Capital Goods
I11.SI,I11,Ipco International Limited,Gas Utilities,Utilities
I15.SI,I15,Isetan (Singapore) Limited,Multiline Retail,Retailing
I26.SI,I26,Innopac Holdings Limited,Diversified Telecommunication Services,Telecommunication Services
I49.SI,I49,IFS Capital Limited,Diversified Financial Services,Diversified Financials
I5H.SI,I5H,Forise International Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
I85.SI,I85,Hengxin Technology Ltd.,Communications Equipment,Technology Hardware and Equipment
I9T.SI,I9T,Ziwo Holdings Ltd.,Chemicals,Materials
IW5.SI,IW5,Seroja Investments Limited,Marine,Transportation
IX2.SI,IX2,PEC Ltd.,Construction and Engineering,Capital Goods
J03.SI,J03,Jadason Enterprises Ltd,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
J17.SI,J17,Jackspeed Corporation Limited,Auto Components,Automobiles and Components
J18.SI,J18,China Jishan Holdings Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
J2T.SI,J2T,Hock Lian Seng Holdings Limited,Construction and Engineering,Capital Goods
J36.SI,J36,Jardine Matheson Holdings Limited,Industrial Conglomerates,Capital Goods
J37.SI,J37,Jardine Strategic Holdings Limited,Industrial Conglomerates,Capital Goods
J69U.SI,J69U,Frasers Centrepoint Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
J85.SI,J85,CDL Hospitality Trusts,Equity Real Estate Investment Trusts (REITs),Real Estate
J91U.SI,J91U,Cambridge Industrial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
K03.SI,K03,Khong Guan Flour Milling Limited,Food and Staples Retailing,Food and Staples Retailing
K11.SI,K11,Keppel Telecommunications & Transportation Ltd,Air Freight and Logistics,Transportation
K14.SI,K14,Kingboard Copper Foil Holdings Limited,Chemicals,Materials
K1Q.SI,K1Q,T T J Holdings Limited,Construction and Engineering,Capital Goods
K22.SI,K22,Raffles United Holdings Ltd.,Trading Companies and Distributors,Capital Goods
K29.SI,K29,Karin Technology Holdings Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
K2LU.SI,K2LU,Cache Logistics Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
K2N.SI,K2N,China Minzhong Food Corporation Limited,Food Products,Food | Beverage and Tobacco
K6S.SI,K6S,Prudential plc,Insurance,Insurance
K71U.SI,K71U,Keppel REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
K75.SI,K75,Koh Brothers Group Limited,Construction and Engineering,Capital Goods
KI3.SI,KI3,Hu An Cable Holdings Ltd.,Electrical Equipment,Capital Goods
KJ5.SI,KJ5,BBR Holdings (S) Ltd,Construction and Engineering,Capital Goods
KJ9.SI,KJ9,Cogent Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
L02.SI,L02,Manhattan Resources Limited,Marine,Transportation
L03.SI,L03,Lian Beng Group Ltd,Construction and Engineering,Capital Goods
L09.SI,L09,Lung Kee (Bermuda) Holdings Limited,Machinery,Capital Goods
L17.SI,L17,LTC Corporation Limited,Metals and Mining,Materials
L19.SI,L19,Lum Chang Holdings Limited,Construction and Engineering,Capital Goods
L20.SI,L20,LifeBrandz Ltd.,Hotels | Restaurants and Leisure,Consumer Services
L23.SI,L23,Enviro-Hub Holdings Ltd.,Metals and Mining,Materials
L38.SI,L38,AF Global Limited,Hotels | Restaurants and Leisure,Consumer Services
L46.SI,L46,Luzhou Bio-chem Technology Limited,Food Products,Food | Beverage and Tobacco
L5I.SI,L5I,Abterra Ltd.,Trading Companies and Distributors,Capital Goods
LJ3.SI,LJ3,OUE Limited,Hotels | Restaurants and Leisure,Consumer Services
LS9.SI,LS9,Leader Environmental Technologies Limited,Commercial Services and Supplies,Commercial and Professional Services
M01.SI,M01,Metro Holdings Limited,Multiline Retail,Retailing
M03.SI,M03,Miyoshi Limited,Machinery,Capital Goods
M04.SI,M04,Mandarin Oriental International Limited,Hotels | Restaurants and Leisure,Consumer Services
M05.SI,M05,MTQ Corporation Limited,Energy Equipment and Services,Energy
M11.SI,M11,Manufacturing Integration Technology Ltd.,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
M14.SI,M14,InnoTek Limited,Machinery,Capital Goods
M15.SI,M15,Matex International Limited,Chemicals,Materials
M1GU.SI,M1GU,Sabana Shari'ah Compliant Industrial Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
M1Z.SI,M1Z,TEE International Limited,Construction and Engineering,Capital Goods
M30.SI,M30,Meghmani Organics Limited,Chemicals,Materials
M35.SI,M35,Wheelock Properties (Singapore) Limited,Real Estate Management and Development,Real Estate
M44U.SI,M44U,Mapletree Logistics Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
MC0.SI,MC0,Global Logistic Properties Limited,Real Estate Management and Development,Real Estate
ME8U.SI,ME8U,Mapletree Industrial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
MF6.SI,MF6,Mun Siong Engineering Limited,Construction and Engineering,Capital Goods
MR7.SI,MR7,Nordic Group Limited,Construction and Engineering,Capital Goods
MR8.SI,MR8,Novo Group Ltd.,Trading Companies and Distributors,Capital Goods
MS7.SI,MS7,Vard Holdings Limited,Machinery,Capital Goods
MT1.SI,MT1,Dragon Group International Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
MV4.SI,MV4,Mewah International Inc.,Food Products,Food | Beverage and Tobacco
N01.SI,N01,Nera Telecommunications Ltd,Communications Equipment,Technology Hardware and Equipment
N02.SI,N02,NSL Ltd,Construction Materials,Materials
N08.SI,N08,New Toyo International Holdings Ltd,Paper and Forest Products,Materials
N0Z.SI,N0Z,Combine Will International Holdings Limited,Leisure Products,Consumer Durables and Apparel
N14.SI,N14,M Development Ltd.,Diversified Financial Services,Diversified Financials
N21.SI,N21,Noble Group Limited,Trading Companies and Distributors,Capital Goods
N2IU.SI,N2IU,Mapletree Commercial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
N32.SI,N32,Nippecraft Limited,Commercial Services and Supplies,Commercial and Professional Services
N4E.SI,N4E,Nam Cheong Limited,Machinery,Capital Goods
NC2.SI,NC2,Sri Trang Agro-Industry Public Company Limited,Auto Components,Automobiles and Components
NC9.SI,NC9,Malaysia Smelting Corporation Berhad,Metals and Mining,Materials
ND8U.SI,ND8U,Frasers Commercial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
NO4.SI,NO4,Dyna-Mac Holdings Ltd.,Energy Equipment and Services,Energy
NR7.SI,NR7,Raffles Education Corporation Limited,Diversified Consumer Services,Consumer Services
NS8U.SI,NS8U,Hutchison Port Holdings Trust,Transportation Infrastructure,Transportation
O05.SI,O05,Ocean Sky International Limited,Real Estate Management and Development,Real Estate
O08.SI,O08,Ossia International Limited,Distributors,Retailing
O10.SI,O10,Far East Orchard Limited,Real Estate Management and Development,Real Estate
O2I.SI,O2I,AVIC International Maritime Holdings Limited,Machinery,Capital Goods
O32.SI,O32,Olam International Limited,Food and Staples Retailing,Food and Staples Retailing
O39.SI,O39,Oversea-Chinese Banking Corporation Limited,Banks,Banks
O5RU.SI,O5RU,AIMS AMP Capital Industrial REIT,Equity Real Estate Investment Trusts (REITs),Real Estate
O9E.SI,O9E,Parkson Retail Asia Limited,Multiline Retail,Retailing
OU8.SI,OU8,Centurion Corporation Limited,Hotels | Restaurants and Leisure,Consumer Services
OV8.SI,OV8,Sheng Siong Group Ltd.,Food and Staples Retailing,Food and Staples Retailing
P01.SI,P01,Poh Tiong Choon Logistics Limited,Air Freight and Logistics,Transportation
P15.SI,P15,Pacific Century Regional Developments Limited,Diversified Financial Services,Diversified Financials
P19.SI,P19,PCI Limited,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
P34.SI,P34,Delfi Limited,Food Products,Food | Beverage and Tobacco
P36.SI,P36,Pan Hong Holdings Group Limited,Real Estate Management and Development,Real Estate
P40U.SI,P40U,Starhill Global Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
P52.SI,P52,Pan-United Corporation Ltd,Trading Companies and Distributors,Capital Goods
P74.SI,P74,China Kangda Food Company Limited,Food Products,Food | Beverage and Tobacco
P8A.SI,P8A,Cordlife Group Limited,Healthcare Providers and Services,Healthcare Equipment and Services
P8Z.SI,P8Z,Bumitama Agri Ltd.,Food Products,Food | Beverage and Tobacco
P9D.SI,P9D,Civmec Limited,Construction and Engineering,Capital Goods
P9J.SI,P9J,Global Premium Hotels Limited,Hotels | Restaurants and Leisure,Consumer Services
PA3.SI,PA3,TA Corporation Ltd,Construction and Engineering,Capital Goods
PH0.SI,PH0,VGO Corporation Limited,Specialty Retail,Retailing
Q01.SI,Q01,QAF Limited,Food Products,Food | Beverage and Tobacco
Q0F.SI,Q0F,IHH Healthcare Berhad,Healthcare Providers and Services,Healthcare Equipment and Services
Q0X.SI,Q0X,Ley Choon Group Holdings Limited,Construction and Engineering,Capital Goods
Q1P.SI,Q1P,Ascendas Hospitality Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
Q5T.SI,Q5T,Far East Hospitality Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
QC7.SI,QC7,Q & M Dental Group (Singapore) Limited,Healthcare Providers and Services,Healthcare Equipment and Services
QF6.SI,QF6,Swee Hong Limited,Construction and Engineering,Capital Goods
QG1.SI,QG1,Metech International Limited,Commercial Services and Supplies,Commercial and Professional Services
QS9.SI,QS9,Global Invacom Group Limited,Communications Equipment,Technology Hardware and Equipment
R07.SI,R07,Rotary Engineering Limited,Construction and Engineering,Capital Goods
R14.SI,R14,Ramba Energy Limited,Air Freight and Logistics,Transportation
RC5.SI,RC5,Triyards Holdings Limited,Machinery,Capital Goods
RE2.SI,RE2,Courts Asia Limited,Specialty Retail,Retailing
RE4.SI,RE4,Geo Energy Resources Limited,Oil | Gas and Consumable Fuels,Energy
RF1U.SI,RF1U,RHT Health Trust,Healthcare Providers and Services,Healthcare Equipment and Services
RF7.SI,RF7,Gaylin Holdings Limited,Energy Equipment and Services,Energy
RQ1.SI,RQ1,Overseas Education Limited,Diversified Consumer Services,Consumer Services
RS1.SI,RS1,China Environmental Resources Group Limited,Chemicals,Materials
RW0U.SI,RW0U,Mapletree Greater China Commercial Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
S07.SI,S07,Shangri-La Asia Limited,Hotels | Restaurants and Leisure,Consumer Services
S08.SI,S08,Singapore Post Limited,Air Freight and Logistics,Transportation
S10.SI,S10,Super Group Ltd.,Food Products,Food | Beverage and Tobacco
S19.SI,S19,Singapore Shipping Corporation Limited,Marine,Transportation
S20.SI,S20,The Straits Trading Company Limited,Metals and Mining,Materials
S21.SI,S21,Genting Hong Kong Limited,Hotels | Restaurants and Leisure,Consumer Services
S23.SI,S23,Singapura Finance Ltd,Consumer Finance,Diversified Financials
S29.SI,S29,Stamford Tyres Corporation Limited,Distributors,Retailing
