symbol,code,name,sector[yahoo : us : daily]
BBT,BBT,BB&T Corporation,Financial,812.52
BC,BC,Brunswick Corporation,Consumer Goods,91.1
BCE,BCE,BCE Inc.,Technology,897.59
BCRX,BCRX,BioCryst Pharmaceuticals Inc.,Healthcare,72.98
BDN,BDN,Brandywine Realty Trust,Financial,179.33
BEAV,BEAV,B/E Aerospace Inc.,Industrial Goods,102.67
BECN,BECN,Beacon Roofing Supply Inc.,Industrial Goods,59.62
BEN,BEN,Franklin Resources Inc.,Financial,585.86
BERY,BERY,Berry Plastics Group Inc.,Consumer Goods,124.78
BF-B,BF-B,Brown-Forman Corporation,Consumer Goods,405.05
BGCP,BGCP,BGC Partners Inc.,Financial,272.28
BGNE,BGNE,BeiGene Ltd.,Healthcare,30.97
BGS,BGS,B&G Foods Inc.,Consumer Goods,69.71
BIDU,BIDU,Baidu Inc.(百度),Technology,357.93
BIIB,BIIB,Biogen Inc.,Healthcare,218.9
BITA,BITA,Bitauto Holdings Limited(易车网),Technology,71.98
BK,BK,The Bank of New York Mellon Corporation,Financial,1060
BKS,BKS,Barnes & Noble Inc.,Services,69.87
BKU,BKU,BankUnited Inc.,Financial,103
BLDR,BLDR,Builders FirstSource Inc.,Industrial Goods,111.19
BLK,BLK,BlackRock Inc.,Financial,159.23
BLMN,BLMN,Bloomin' Brands Inc.,Services,109.4
BMO,BMO,Bank of Montreal,Financial,644.24
BMS,BMS,Bemis Company Inc.,Consumer Goods,94.95
BNS,BNS,The Bank of Nova Scotia,Financial,1210
BNSO,BNSO,Bonso Electronics International Inc.(恒异电子),Industrial Goods,4.97
BOFI,BOFI,BofI Holding Inc.,Financial,58.62
BORN,BORN,China New Borun Corporation(博润),Consumer Goods,25.77
BPL,BPL,Buckeye Partners L.P.,Basic Materials,141.38
BPOP,BPOP,Popular Inc.,Financial,103.3
BR,BR,Broadridge Financial Solutions Inc.,Technology,121.27
BRCD,BRCD,Brocade Communications Systems Inc.,Technology,401.85
BRFS,BRFS,BRF S.A.,Consumer Goods,909.59
BRKR,BRKR,Bruker Corporation,Healthcare,156.87
BRO,BRO,Brown & Brown Inc.,Financial,137.72
BRX,BRX,Brixmor Property Group Inc.,Financial,310.52
BSMX,BSMX,Grupo Financiero Santander Mexico S.A.B. de C.V.,Financial,1670
BSPM,BSPM,Biostar Pharmaceuticals Inc.(奥星制药),Healthcare,2.28
BSX,BSX,Boston Scientific Corporation,Healthcare,1360
BT,BT,BT Group plc,Technology,2029.9999999999998
BTI,BTI,British American Tobacco p.l.c.,Consumer Goods,975.81
BUD,BUD,Anheuser-Busch InBev SA/NV,Consumer Goods,1770
BURL,BURL,Burlington Stores Inc.,Services,71.73
BWA,BWA,BorgWarner Inc.,Consumer Goods,212.87
BWXT,BWXT,BWX Technologies Inc.,Industrial Goods,99.61
BX,BX,The Blackstone Group L.P.,Financial,1150
BXMT,BXMT,Blackstone Mortgage Trust Inc.,Financial,93.53
BXP,BXP,Boston Properties Inc.,Financial,153.75
BXS,BXS,BancorpSouth Inc.,Financial,89.95
BYD,BYD,Boyd Gaming Corporation,Services,113.08
BZH,BZH,Beazer Homes USA Inc.,Industrial Goods,31.81
BZUN,BZUN,Baozun Inc.,Services,52.02
C,C,Citigroup Inc.,Financial,2880
CA,CA,CA Inc.,Technology,415.87
CAA,CAA,CalAtlantic Group Inc.,Industrial Goods,115.22
CAAS,CAAS,China Automotive Systems Inc.(中汽系统),Consumer Goods,30.95
CAB,CAB,Cabela's Incorporated,Services,68.9
CADC,CADC,China Advanced Construction Materials Group Inc.(新奥混凝土),Industrial Goods,2.25
CAH,CAH,Cardinal Health Inc.,Services,320
CAKE,CAKE,The Cheesecake Factory Incorporated,Services,46.42
CALD,CALD,Callidus Software Inc.,Technology,64.07
CALI,CALI,China Auto Logistic Inc.(中国汽车物流),Services,4.16
CALM,CALM,Cal-Maine Foods Inc.,Consumer Goods,46.81
CAMP,CAMP,CalAmp Corp.,Technology,36.09
CAR,CAR,Avis Budget Group Inc.,Services,90.4
CBAK,CBAK,China BAK Battery Inc.(比克电池),Technology,18.21
CBD,CBD,Companhia Brasileira de Distribuicao,Services,295.59
CBG,CBG,CBRE Group Inc.,Financial,330.41
CBOE,CBOE,CBOE Holdings Inc.,Financial,81.29
CBPO,CBPO,China Biologic Products Inc.(泰邦生物),Healthcare,26.86
CBS,CBS,CBS Corporation,Services,469.97
CCCL,CCCL,China Ceramics Co. Ltd.(中国陶瓷),Industrial Goods,2.53
CCCR,CCCR,China Commercial Credit Inc.(鲈乡小贷),Financial,13.31
CCE,CCE,Coca-Cola European Partners Plc,Consumer Goods,529
CCI,CCI,Crown Castle International Corp.,Technology,372.92
CCIH,CCIH,ChinaCache International Holdings Ltd.(蓝汛),Technology,27.8
CCK,CCK,Crown Holdings Inc.,Consumer Goods,143.56
CCM,CCM,Concord Medical Services Holdings Limited(泰和诚医疗),Healthcare,44.18
CCRC,CCRC,China Customer Relations Centers Inc.,Services,18.33
CDK,CDK,CDK Global Inc.,Technology,152.95
CDNS,CDNS,Cadence Design Systems Inc.,Technology,289.26
CDW,CDW,CDW Corporation,Technology,160.47
CEA,CEA,China Eastern Airlines Corp. Ltd.(东方航空),Services,502.08
CELG,CELG,Celgene Corporation,Healthcare,775.8
CEO,CEO,CNOOC Ltd.(中海油),Basic Materials,443.24
CERN,CERN,Cerner Corporation,Technology,348.69
CETC,CETC,Hongli Clean Energy Technologies Corp.,Basic Materials,2.16
CF,CF,CF Industries Holdings Inc.,Basic Materials,233.1
CFX,CFX,Colfax Corporation,Industrial Goods,119.45
CGA,CGA,China Green Agriculture Inc.(中国绿色农业),Basic Materials,35.21
CHA,CHA,China Telecom Corp. Ltd.(中国电信),Technology,815.92
CHD,CHD,Church & Dwight Co. Inc.,Consumer Goods,271.42
CHFC,CHFC,Chemical Financial Corporation,Financial,35.74
CHGS,CHGS,China Gengsheng Minerals Inc.,Basic Materials,26.8
CHKP,CHKP,Check Point Software Technologies Ltd.,Technology,174.14
CHL,CHL,China Mobile Limited(中移动),Technology,4140
CHMT,CHMT,Chemtura Corporation,Basic Materials,63.17
CHNR,CHNR,China Natural Resources Inc.(中国天然资源),Basic Materials,28.08
CHRW,CHRW,CH Robinson Worldwide Inc.,Services,142.61
CHT,CHT,Chunghwa Telecom Co. Ltd.(中华电信),Technology,797.23
CHU,CHU,China Unicom (Hong Kong) Limited(中国联通(香港)),Technology,2420
CI,CI,Cigna Corp.,Healthcare,258.7
CIEN,CIEN,Ciena Corporation,Technology,138.88
CINF,CINF,Cincinnati Financial Corp.,Financial,161.14
CISG,CISG,CNinsure Inc.(泛华保险),Financial,56.23
CIT,CIT,CIT Group Inc.,Financial,197.84
CJJD,CJJD,China Jo-Jo Drugstores Inc.(九洲大药房),Services,18.93
CLGX,CLGX,CoreLogic Inc.,Technology,90.41
CLNT,CLNT,Cleantech Solutions International Inc.(中国风能技术),Industrial Goods,5.07
CLWT,CLWT,Euro Tech Holdings Company Limited(欧陆科仪),Industrial Goods,1.93
CLX,CLX,The Clorox Company,Consumer Goods,132.02
CMA,CMA,Comerica Incorporated,Financial,171
CMC,CMC,Commercial Metals Company,Basic Materials,115.81
CMCM,CMCM,Cheetah Mobile Inc.(猎豹移动),Technology,143.91
CMCSA,CMCSA,Comcast Corporation,Services,2330
CME,CME,CME Group Inc.,Financial,324.71
CMG,CMG,Chipotle Mexican Grill Inc.,Services,29.06
CMI,CMI,Cummins Inc.,Industrial Goods,167.8
CMRX,CMRX,Chimerix Inc.,Healthcare,45.61
CMS,CMS,CMS Energy Corp.,Utilities,285.93
CNC,CNC,Centene Corp.,Healthcare,170.78
CNET,CNET,ChinaNet Online Holdings Inc.(中网在线),Services,13.28
CNI,CNI,Canadian National Railway Company,Services,772.3
CNIT,CNIT,China Information Technology Inc.(中国信息技术),Technology,39.2
CNK,CNK,Cinemark Holdings Inc.,Services,116.28
CNO,CNO,CNO Financial Group Inc.,Financial,174.25
CNTF,CNTF,China Techfaith Wireless Communication Technology Limited(泰克飞石),Technology,10.59
CO,CO,China Cord Blood Corporation(中国脐带血库),Healthcare,80.64
COF,COF,Capital One Financial Corporation,Financial,501.1
COL,COL,Rockwell Collins Inc.,Industrial Goods,131.5
CONN,CONN,Conns Inc.,Services,27.91
COO,COO,The Cooper Companies Inc.,Healthcare,49.15
COST,COST,Costco Wholesale Corporation,Services,437.39
COTY,COTY,Coty Inc.,Consumer Goods,790.33
CP,CP,Canadian Pacific Railway Limited,Services,147.3
CPG,CPG,Crescent Point Energy Corp.,Basic Materials,null
CPHI,CPHI,China Pharma Holdings Inc.(中国医药控股有限公司),Healthcare,45.33
CPN,CPN,Calpine Corp.,Utilities,376.4
CPRT,CPRT,Copart Inc.,Services,114.33
CPSL,CPSL,China Precision Steel Inc.,Basic Materials,null
CPT,CPT,Camden Property Trust,Financial,90.18
CREG,CREG,China Recycling Energy Corporation(盈丰科技),Industrial Goods,8.46
CRH,CRH,CRH plc,Industrial Goods,839.12
CRI,CRI,Carter's Inc.,Consumer Goods,49.74
CRK,CRK,Comstock Resources Inc.,Basic Materials,13.4
CRTO,CRTO,Criteo SA,Technology,66.95
CSCO,CSCO,Cisco Systems Inc.,Technology,5080
CSIQ,CSIQ,Canadian Solar Inc.(阿特斯),Technology,57.46
CSX,CSX,CSX Corp.,Services,942
CTAS,CTAS,Cintas Corporation,Services,104.46
CTB,CTB,Cooper Tire & Rubber Co.,Consumer Goods,54.06
CTLT,CTLT,Catalent Inc.,Healthcare,124.82
CTRP,CTRP,Ctrip.com International Ltd.(携程网),Services,513.54
CTSH,CTSH,Cognizant Technology Solutions Corporation,Technology,606.2
CTXS,CTXS,Citrix Systems Inc.,Technology,154.58
CUBE,CUBE,CubeSmart,Financial,185.63
CUZ,CUZ,Cousins Properties Incorporated,Financial,395.51
CVA,CVA,Covanta Holding Corporation,Industrial Goods,130.87
CVG,CVG,Convergys Corporation,Services,101.62
CVI,CVI,CVR Energy Inc.,Basic Materials,86.5
CVS,CVS,CVS Health Corporation,Healthcare,1070
CX,CX,CEMEX S.A.B. de C.V.,Industrial Goods,1660
CXDC,CXDC,China XD Plastics Company Ltd.(鑫达集团),Consumer Goods,48.87
CXP,CXP,Columbia Property Trust Inc.,Financial,126.13
CXW,CXW,Corrections Corporation of America,Financial,117.52
CYD,CYD,China Yuchai International Limited(玉柴国际),Industrial Goods,40.96
CYOU,CYOU,Changyou.com Limited(畅游),Technology,17.24
CZR,CZR,Caesars Entertainment Corporation,Services,149.02
DAL,DAL,Delta Air Lines Inc.,Services,737.5
DAN,DAN,Dana Incorporated,Consumer Goods,144.56
DATA,DATA,Tableau Software Inc.,Technology,75.55
DBD,DBD,Diebold Incorporated,Technology,74.79
DCT,DCT,DCT Industrial Trust Inc.,Financial,93.35
DDS,DDS,Dillard's Inc.,Services,31.14
DE,DE,Deere & Company,Industrial Goods,314.3
DEI,DEI,Douglas Emmett Inc.,Financial,158.04
DELT,DELT,Delta Technology Holdings Limited,Basic Materials,10.36
DEO,DEO,Diageo plc,Consumer Goods,633.01
DEPO,DEPO,Depomed Inc.,Healthcare,61.42
DFS,DFS,Discover Financial Services,Financial,402
DG,DG,Dollar General Corporation,Services,283.13
DGX,DGX,Quest Diagnostics Inc.,Healthcare,139
DHI,DHI,DR Horton Inc.,Industrial Goods,372.56
DHR,DHR,Danaher Corp.,Industrial Goods,691.62
DHRM,DHRM,Dehaier Medical Systems Limited(德海尔医疗),Healthcare,7.09
DIS,DIS,The Walt Disney Company,Services,1600
DISCA,DISCA,Discovery Communications Inc.,Services,388.37
DK,DK,Delek US Holdings Inc.,Basic Materials,60.5
DKS,DKS,Dick's Sporting Goods Inc.,Services,111.41
DL,DL,China Distance Education Holdings Limited(正保教育),Services,34.35
DLPH,DLPH,Delphi Automotive PLC,Consumer Goods,272.19
DLR,DLR,Digital Realty Trust Inc.,Financial,164.33
DNKN,DNKN,Dunkin' Brands Group Inc.,Services,93.24
DOV,DOV,Dover Corporation,Industrial Goods,155.3
DOW,DOW,The Dow Chemical Company,Basic Materials,1120
DOX,DOX,Amdocs Limited,Technology,145.55
DPLO,DPLO,Diplomat Pharmacy Inc.,Healthcare,62.46
DPS,DPS,Dr Pepper Snapple Group Inc.,Consumer Goods,189.65
DPZ,DPZ,Domino's Pizza Inc.,Services,50.84
DQ,DQ,Daqo New Energy Corp.(大全新能源),Technology,10.88
DRE,DRE,Duke Realty Corporation,Financial,366.18
DRH,DRH,DiamondRock Hospitality Company,Financial,200.47
DSW,DSW,DSW Inc.,Services,77.85
DSWL,DSWL,Deswell Industries Inc.(德卫),Consumer Goods,15.98
DTE,DTE,DTE Energy Company,Utilities,181.58
DUK,DUK,Duke Energy Corporation,Utilities,708.92
DVMT,DVMT,Dell Technologies Inc.,Technology,223.47
DXCM,DXCM,DexCom Inc.,Healthcare,83.79
DY,DY,Dycom Industries Inc.,Industrial Goods,30.57
DYN,DYN,Dynegy Inc.,Utilities,126.96
EA,EA,Electronic Arts Inc.,Technology,311.14
EAT,EAT,Brinker International Inc.,Services,54.84
EBAY,EBAY,eBay Inc.,Services,1120
ECL,ECL,Ecolab Inc.,Consumer Goods,291.6
ED,ED,Consolidated Edison Inc.,Utilities,311.5
EDR,EDR,EdR,Financial,76.03
EDU,EDU,New Oriental Education & Technology Group Inc.(新东方),Services,157.35
EEP,EEP,Enbridge Energy Partners L.P.,Basic Materials,341.83
EFUT,EFUT,eFuture Holding Inc.(富基旋风),Technology,5.28
EFX,EFX,Equifax Inc.,Financial,126.25
EGT,EGT,Entertainment Gaming Asia Inc.(亚洲娱乐博彩),Services,14.38
EHIC,EHIC,eHi Car Services Limited(一嗨租车),Services,31.88
EIGI,EIGI,Endurance International Group Holdings Inc.,Technology,145.7
EL,EL,The Estee Lauder Companies Inc.,Consumer Goods,376.65
ELLI,ELLI,Ellie Mae Inc.,Technology,36.47
ELP,ELP,Companhia Paranaense de Energia - COPEL,Utilities,267.77
ELY,ELY,Callaway Golf Co.,Consumer Goods,93.24
EMN,EMN,Eastman Chemical Co.,Basic Materials,147.2
EPD,EPD,Enterprise Products Partners L.P.,Basic Materials,2060
EQC,EQC,Equity Commonwealth,Financial,127.95
EQIX,EQIX,Equinix Inc.,Technology,75.08
EQR,EQR,Equity Residential,Financial,373.59
EQY,EQY,Equity One Inc.,Financial,145.57
ERIC,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,3270
ES,ES,Eversource Energy,Utilities,322.27
ESNT,ESNT,Essent Group Ltd.,Financial,89.43
ESRX,ESRX,Express Scripts Holding Company,Healthcare,622.6
ETE,ETE,Energy Transfer Equity L.P.,Basic Materials,1050
ETFC,ETFC,E*TRADE Financial Corporation,Financial,274.36
ETN,ETN,Eaton Corporation plc,Industrial Goods,453.9
EV,EV,Eaton Vance Corp.,Financial,110.45
EVHC,EVHC,Envision Healthcare Holdings Inc.,Healthcare,185.99
EVK,EVK,Ever-Glory International Group Inc.(华瑞服装),Consumer Goods,14.78
EW,EW,Edwards Lifesciences Corp.,Healthcare,212.89
EWBC,EWBC,East West Bancorp Inc.,Financial,144.12
EXEL,EXEL,Exelixis Inc.,Healthcare,273.35
EXP,EXP,Eagle Materials Inc.,Industrial Goods,46.87
EXPD,EXPD,Expeditors International of Washington Inc.,Services,181.18
EXPE,EXPE,Expedia Inc.,Services,151.39
EXR,EXR,Extra Space Storage Inc.,Financial,130.17
F,F,Ford Motor Co.,Consumer Goods,3970
FAF,FAF,First American Financial Corporation,Financial,112.41
FAST,FAST,Fastenal Company,Services,289
FB,FB,Facebook Inc.,Technology,2940
FBHS,FBHS,Fortune Brands Home & Security Inc.,Consumer Goods,151.43
FBP,FBP,First Bancorp,Financial,212.93
FCAU,FCAU,Fiat Chrysler Automobiles N.V.,Consumer Goods,null
FCH,FCH,FelCor Lodging Trust Incorporated,Financial,137.17
FDX,FDX,FedEx Corporation,Services,262.28
FENG,FENG,Phoenix New Media Limited(凤凰新媒体),Technology,68.64
FFHL,FFHL,Fuwei Films (Holdings) Co. Ltd.(富维薄膜),Consumer Goods,13.44
FHN,FHN,First Horizon National Corporation,Financial,231.86
FIG,FIG,Fortress Investment Group LLC,Financial,381.21
FIS,FIS,Fidelity National Information Services Inc.,Technology,327.59
FISV,FISV,Fiserv Inc.,Services,218.6
FITB,FITB,Fifth Third Bancorp,Financial,730.44
FIVE,FIVE,Five Below Inc.,Services,54.8
FL,FL,Foot Locker Inc.,Consumer Goods,134.4
FLEX,FLEX,Flex Ltd.,Technology,544.67
FLIR,FLIR,FLIR Systems Inc.,Technology,136.96
FLO,FLO,Flowers Foods Inc.,Consumer Goods,210.85
FLR,FLR,Fluor Corporation,Industrial Goods,139.25
FLT,FLT,FleetCor Technologies Inc.,Services,95
FNB,FNB,F.N.B. Corporation,Financial,210.31
FOE,FOE,Ferro Corporation,Basic Materials,83.27
FOLD,FOLD,Amicus Therapeutics Inc.,Healthcare,139.12
FOSL,FOSL,Fossil Group Inc.,Consumer Goods,43.32
FOXA,FOXA,Twenty-First Century Fox Inc.,Services,1870
FR,FR,First Industrial Realty Trust Inc.,Financial,118.85
FRAN,FRAN,Francesca's Holdings Corporation,Services,38.66
FRC,FRC,First Republic Bank,Financial,149.8
FTI,FTI,FMC Technologies Inc.,Basic Materials,226.9
FTK,FTK,Flotek Industries Inc.,Basic Materials,55.92
FULT,FULT,Fulton Financial Corporation,Financial,173.02
G,G,Genpact Limited,Services,206.15
GD,GD,General Dynamics Corporation,Industrial Goods,296.44
GEO,GEO,The GEO Group Inc.,Financial,74.11
GGP,GGP,General Growth Properties Inc,Financial,885.09
GIGM,GIGM,GigaMedia Ltd.(和信超媒体),Technology,11.3
GIII,GIII,G-III Apparel Group Ltd.,Consumer Goods,41.61
GILD,GILD,Gilead Sciences Inc.,Healthcare,1330
GIS,GIS,General Mills Inc.,Consumer Goods,607.56
GLNG,GLNG,Golar LNG Ltd.,Services,93
GLPI,GLPI,Gaming and Leisure Properties Inc,Financial,211.18
GM,GM,General Motors Company,Consumer Goods,1440
GME,GME,GameStop Corp.,Services,102.36
GMED,GMED,Globus Medical Inc.,Healthcare,94.5
GNC,GNC,GNC Holdings Inc.,Services,68.19
GNRC,GNRC,Generac Holdings Inc.,Industrial Goods,63.35
GNTX,GNTX,Gentex Corp.,Consumer Goods,282.96
GOGO,GOGO,Gogo Inc.,Technology,87.52
GOLD,GOLD,Randgold Resources Limited,Basic Materials,106.47
GOOGL,GOOGL,Alphabet Inc.,Technology,702.62
GPC,GPC,Genuine Parts Company,Services,148.9
GPK,GPK,Graphic Packaging Holding Company,Consumer Goods,316.08
GPN,GPN,Global Payments Inc.,Services,157.77
GPS,GPS,The Gap Inc.,Services,382.17
GRFS,GRFS,Grifols S.A.,Healthcare,null
GSH,GSH,Guangshen Railway Co. Ltd.(广深铁路),Services,162.66
GSK,GSK,GlaxoSmithKline plc,Healthcare,2420
GSOL,GSOL,Global Sources Ltd.(环球资源),Services,23.74
GT,GT,The Goodyear Tire & Rubber Company,Consumer Goods,262
GTN,GTN,Gray Television Inc.,Services,69.52
GURE,GURE,Gulf Resources Inc.(海湾资源),Basic Materials,46.25
GWW,GWW,W.W. Grainger Inc.,Services,57.74
HA,HA,Hawaiian Holdings Inc.,Services,55.04
HAIN,HAIN,The Hain Celestial Group Inc.,Services,105.74
HALO,HALO,Halozyme Therapeutics Inc.,Healthcare,121.71
HAR,HAR,Harman International Industries Incorporated,Consumer Goods,70.89
HAS,HAS,Hasbro Inc.,Consumer Goods,124.09
HAWK,HAWK,Blackhawk Network Holdings Inc.,Financial,54.82
HBAN,HBAN,Huntington Bancshares Incorporated,Financial,751.62
HBHC,HBHC,Hancock Holding Company,Financial,77.55
HBI,HBI,Hanesbrands Inc.,Consumer Goods,377.63
HCA,HCA,HCA Holdings Inc.,Healthcare,375.21
HCLP,HCLP,Hi-Crush Partners LP,Basic Materials,63.28
HCN,HCN,Welltower Inc.,Financial,372.87
HD,HD,The Home Depot Inc.,Services,1240
HDS,HDS,HD Supply Holdings Inc.,Services,193.68
HE,HE,Hawaiian Electric Industries Inc.,Utilities,109.99
HFC,HFC,HollyFrontier Corporation,Basic Materials,177.6
HGSH,HGSH,China HGS Real Estate Inc.(汉广厦房地产),Financial,47.18
HIG,HIG,The Hartford Financial Services Group Inc.,Financial,383.8
