symbol,code,name,sector[yahoo : us : daily]
HPJ,HPJ,Highpower International Inc.(豪鹏国际),Industrial Goods,15.38
HPT,HPT,Hospitality Properties Trust,Financial,167.04
HR,HR,Healthcare Realty Trust Incorporated,Financial,120.56
HRB,HRB,H&R Block Inc.,Services,220.48
HRL,HRL,Hormel Foods Corporation,Consumer Goods,561.15
HRTX,HRTX,Heron Therapeutics Inc.,Healthcare,39.11
HSIC,HSIC,Henry Schein Inc.,Services,81.96
HST,HST,Host Hotels & Resorts Inc.,Financial,741.71
HSY,HSY,The Hershey Company,Consumer Goods,219.19
HTA,HTA,Healthcare Trust of America Inc.,Financial,147.35
HTHT,HTHT,China Lodging Group Limited(华住酒店集团),Services,70.92
HTLD,HTLD,Heartland Express Inc.,Services,81.69
HTZ,HTZ,Hertz Global Holdings Inc.,Services,83.61
HUM,HUM,Humana Inc.,Healthcare,149.42
HUN,HUN,Huntsman Corporation,Basic Materials,228.81
HW,HW,Headwaters Incorporated,Industrial Goods,73.91
HXL,HXL,Hexcel Corp.,Industrial Goods,92.85
HZNP,HZNP,Horizon Pharma plc,Healthcare,161.04
IAC,IAC,IAC/InterActiveCorp,Technology,79.35
IBM,IBM,International Business Machines Corporation,Technology,954
IBN,IBN,ICICI Bank Ltd.,Financial,2910
ICE,ICE,Intercontinental Exchange Inc.,Financial,596.09
IDTI,IDTI,Integrated Device Technology Inc.,Technology,137.51
IFF,IFF,International Flavors & Fragrances Inc.,Basic Materials,83.15
IGT,IGT,International Game Technology PLC,Services,208.7
ILMN,ILMN,Illumina Inc.,Healthcare,146.71
IMOS,IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.(南茂科技),Technology,27.37
IMPV,IMPV,Imperva Inc.,Technology,32.92
INCY,INCY,Incyte Corporation,Healthcare,187.34
INFN,INFN,Infinera Corporation,Technology,143.85
INFY,INFY,Infosys Limited,Technology,2290
ING,ING,ING Groep N.V.,Financial,3860
INGR,INGR,Ingredion Incorporated,Consumer Goods,75.79
INO,INO,Inovio Pharmaceuticals Inc.,Healthcare,70.06
INSY,INSY,INSYS Therapeutics Inc.,Healthcare,69.27
INTC,INTC,Intel Corporation,Technology,4770
INTU,INTU,Intuit Inc.,Technology,258.24
INVA,INVA,Innoviva Inc.,Technology,108.74
INXN,INXN,Interxion Holding NV,Technology,74.37
IP,IP,International Paper Company,Consumer Goods,409.78
IPG,IPG,The Interpublic Group of Companies Inc.,Services,397.92
IR,IR,Ingersoll-Rand Plc,Industrial Goods,259.2
IRET,IRET,Investors Real Estate Trust,Financial,121.07
IRT,IRT,Independence Realty Trust Inc.,Financial,69.15
ISBC,ISBC,Investors Bancorp Inc.,Financial,301.19
ITT,ITT,ITT Inc.,Industrial Goods,89.2
ITUB,ITUB,Itau Unibanco Holding S.A.,Financial,6840
ITW,ITW,Illinois Tool Works Inc.,Industrial Goods,353.5
IVZ,IVZ,Invesco Ltd.,Financial,412.6
JASO,JASO,JA Solar Holdings Co. Ltd.(晶澳太阳能),Technology,47.91
JAZZ,JAZZ,Jazz Pharmaceuticals Public Limited Company,Healthcare,60.44
JBHT,JBHT,JB Hunt Transport Services Inc.,Services,109.7
JBLU,JBLU,JetBlue Airways Corporation,Services,323.7
JCI,JCI,Johnson Controls International plc,Consumer Goods,906.77
JD,JD,JD.com Inc.(京东),Technology,1490
JEC,JEC,Jacobs Engineering Group Inc.,Services,119.3
JKS,JKS,JinkoSolar Holding Co. Ltd.(晶科能源),Technology,32.42
JMEI,JMEI,Jumei International Holding Limited(聚美优品),Services,148.69
JNJ,JNJ,Johnson & Johnson,Healthcare,2740
JNPR,JNPR,Juniper Networks Inc.,Technology,384.33
JOBS,JOBS,51job Inc.(前程无忧),Services,61.21
JP,JP,Jupai Holdings Limited(钜派),Financial,31.25
JPM,JPM,JPMorgan Chase & Co.,Financial,3600
JRJC,JRJC,China Finance Online Co. Ltd.(金融界),Technology,22.93
JWN,JWN,Nordstrom Inc.,Services,161.86
K,K,Kellogg Company,Consumer Goods,361.68
KANG,KANG,iKang Healthcare Group Inc.(爱康国宾),Healthcare,68.84
KAR,KAR,KAR Auction Services Inc.,Services,140.16
KATE,KATE,Kate Spade & Company,Consumer Goods,128.1
KBH,KBH,KB Home,Industrial Goods,82.19
KEP,KEP,Korea Electric Power Corp.,Utilities,1270
KEX,KEX,Kirby Corporation,Services,53.46
KEY,KEY,KeyCorp.,Financial,1040
KGJI,KGJI,Kingold Jewelry Inc.(金凰珠宝),Basic Materials,66.68
KHC,KHC,The Kraft Heinz Company,Consumer Goods,1270
KIM,KIM,Kimco Realty Corporation,Financial,422.05
KMI,KMI,Kinder Morgan Inc.,Basic Materials,2210
KMX,KMX,CarMax Inc.,Services,191.54
KNDI,KNDI,Kandi Technologies Group Inc.(康迪车业),Consumer Goods,46.5
KNX,KNX,Knight Transportation Inc.,Services,79.17
KONE,KONE,Kingtone Wirelessinfo Solution(联合信息),Technology,1.54
KORS,KORS,Michael Kors Holdings Limited,Consumer Goods,163.85
KR,KR,The Kroger Co.,Services,943
KRC,KRC,Kilroy Realty Corporation,Financial,93.51
KRNY,KRNY,Kearny Financial Corp.,Financial,88.09
KS,KS,KapStone Paper and Packaging Corporation,Consumer Goods,94.79
KSU,KSU,Kansas City Southern,Services,109.4
KZ,KZ,KongZhong Corporation(空中网),Technology,47.11
LAMR,LAMR,Lamar Advertising Co.,Financial,99.29
LAZ,LAZ,Lazard Ltd.,Financial,131.36
LB,LB,L Brands Inc.,Services,279.05
LBTYA,LBTYA,Liberty Global plc,Services,1070
LC,LC,LendingClub Corporation,Financial,372.56
LCI,LCI,Lannett Company Inc.,Healthcare,33.61
LEA,LEA,Lear Corp.,Consumer Goods,71.26
LEDS,LEDS,SemiLEDs Corporation(旭明光电),Technology,3.01
LEG,LEG,Leggett & Platt Incorporated,Consumer Goods,131.37
LEJU,LEJU,Leju Holdings Limited(乐居),Financial,146.19
LEN,LEN,Lennar Corporation,Industrial Goods,204.76
LFC,LFC,China Life Insurance Co. Ltd.(中国人寿),Financial,6910
LGF,LGF,Lions Gate Entertainment Corp.,Services,145.66
LHO,LHO,LaSalle Hotel Properties,Financial,112.78
LITB,LITB,LightInTheBox Holding Co. Ltd.(兰亭集势),Services,69.01
LKQ,LKQ,LKQ Corp.,Consumer Goods,309.63
LMT,LMT,Lockheed Martin Corporation,Industrial Goods,298.5
LNC,LNC,Lincoln National Corporation,Financial,231.04
LNCE,LNCE,Snyder's-Lance Inc.,Consumer Goods,97.54
LNKD,LNKD,LinkedIn Corporation,Technology,135.55
LNT,LNT,Alliant Energy Corporation,Utilities,235.96
LOCK,LOCK,LifeLock Inc.,Technology,93.49
LOGI,LOGI,Logitech International SA,Technology,176.05
LOW,LOW,Lowe's Companies Inc.,Services,883
LPLA,LPLA,LPL Financial Holdings Inc.,Financial,89.09
LPNT,LPNT,LifePoint Health Inc.,Healthcare,39.45
LPT,LPT,Liberty Property Trust,Financial,152.27
LSI,LSI,Life Storage Inc.,Technology,47.28
LULU,LULU,Lululemon Athletica Inc.,Consumer Goods,138.8
LUV,LUV,Southwest Airlines Co.,Services,618
LVLT,LVLT,Level 3 Communications Inc.,Technology,365.28
LVNTA,LVNTA,Liberty Ventures,Services,330.87
LVS,LVS,Las Vegas Sands Corp.,Services,809.99
LXP,LXP,Lexington Realty Trust,Financial,242.38
LXRX,LXRX,Lexicon Pharmaceuticals Inc.,Healthcare,107.47
LYV,LYV,Live Nation Entertainment Inc.,Services,197.64
M,M,Macy's Inc.,Services,308.4
MA,MA,Mastercard Incorporated,Financial,1110
MAA,MAA,Mid-America Apartment Communities Inc.,Financial,77.35
MAC,MAC,The Macerich Company,Financial,143.92
MAN,MAN,ManpowerGroup Inc.,Services,68.4
MANH,MANH,Manhattan Associates Inc.,Technology,71.04
MAR,MAR,Marriott International Inc.,Services,393.55
MAS,MAS,Masco Corporation,Industrial Goods,322.88
MBFI,MBFI,MB Financial Inc.,Financial,82.69
MBI,MBI,MBIA Inc.,Financial,131.63
MBT,MBT,Mobile TeleSystems PJSC,Technology,994.53
MCD,MCD,McDonald's Corp.,Services,833.85
MCK,MCK,McKesson Corporation,Services,226
MCO,MCO,Moody's Corporation,Services,191.96
MD,MD,MEDNAX Inc.,Healthcare,93.61
MDLZ,MDLZ,Mondelez International Inc.,Consumer Goods,1620
MDRX,MDRX,Allscripts Healthcare Solutions Inc.,Technology,189.72
MDXG,MDXG,MiMedx Group Inc.,Healthcare,112.11
MEG,MEG,Media General Inc.,Services,129.12
MELI,MELI,Mercadolibre Inc.,Services,46.88
MENT,MENT,Mentor Graphics Corp.,Technology,107.37
MEOH,MEOH,Methanex Corporation,Basic Materials,89.8
MET,MET,MetLife Inc.,Financial,1050
MFC,MFC,Manulife Financial Corporation,Financial,1820
MGA,MGA,Magna International Inc.,Services,375.85
MGM,MGM,MGM Resorts International,Services,574.75
MHK,MHK,Mohawk Industries Inc.,Consumer Goods,72.46
MHLD,MHLD,Maiden Holdings Ltd.,Financial,84.69
MIK,MIK,The Michaels Companies Inc.,Services,206.36
MJN,MJN,Mead Johnson Nutrition Company,Consumer Goods,193.92
MKC,MKC,McCormick & Company Incorporated,Consumer Goods,130.61
MLM,MLM,Martin Marietta Materials Inc.,Industrial Goods,63.45
MLNX,MLNX,Mellanox Technologies Ltd.,Technology,49.73
MMC,MMC,Marsh & McLennan Companies Inc.,Financial,518
MMM,MMM,3M Company,Industrial Goods,604.4
MMP,MMP,Magellan Midstream Partners LP,Basic Materials,227.58
MNK,MNK,Mallinckrodt Public Limited Company,Healthcare,108.6
MNST,MNST,Monster Beverage Corporation,Consumer Goods,596.15
MO,MO,Altria Group Inc.,Consumer Goods,2020
MOBI,MOBI,Sky-mobi Limited(斯凯),Technology,28.17
MOH,MOH,Molina Healthcare Inc.,Healthcare,55.82
MOMO,MOMO,Momo Inc.(陌陌),Technology,204.99
MORE,MORE,Monogram Residential Trust Inc.,Financial,166.51
MPC,MPC,Marathon Petroleum Corporation,Basic Materials,524.8
MPEL,MPEL,Melco Crown Entertainment Limited(新濠博亚娱乐),Services,563.44
MPW,MPW,Medical Properties Trust Inc.,Financial,317.9
MRK,MRK,Merck & Co. Inc.,Healthcare,2770
MS,MS,Morgan Stanley,Financial,1800
MSCC,MSCC,Microsemi Corporation,Technology,113.5
MSCI,MSCI,MSCI Inc.,Technology,94.84
MSI,MSI,Motorola Solutions Inc.,Technology,165.48
MSM,MSM,MSC Industrial Direct Co. Inc.,Services,54.82
MTB,MTB,M&T Bank Corporation,Financial,152.53
MTG,MTG,MGIC Investment Corp.,Financial,349.38
MTOR,MTOR,Meritor Inc.,Consumer Goods,82.76
MTU,MTU,Mitsubishi UFJ Financial Group Inc.,Financial,12650
MTW,MTW,The Manitowoc Company Inc.,Industrial Goods,138.42
MWA,MWA,Mueller Water Products Inc.,Industrial Goods,161.7
MYGN,MYGN,Myriad Genetics Inc.,Services,68.42
MYL,MYL,Mylan N.V.,Healthcare,543.86
NAT,NAT,Nordic American Tankers Limited,Services,89.31
NCLH,NCLH,Norwegian Cruise Line Holdings Ltd.,Services,212.52
NCS,NCS,NCI Building Systems Inc.,Industrial Goods,73.1
NCTY,NCTY,The9 Limited(第九城市),Technology,40
NDAQ,NDAQ,Nasdaq Inc.,Financial,165.03
NEE,NEE,NextEra Energy Inc.,Utilities,477.14
NFEC,NFEC,NF Energy Saving Corp.(能发伟业),Industrial Goods,7.07
NGG,NGG,National Grid plc,Utilities,779.72
NKE,NKE,NIKE Inc.,Consumer Goods,1690
NLS,NLS,Nautilus Inc.,Consumer Goods,31.63
NLSN,NLSN,Nielsen Holdings plc,Technology,359.5
NNN,NNN,National Retail Properties Inc.,Financial,152.02
NOAH,NOAH,Noah Holdings Limited(诺亚财富),Financial,54.32
NOC,NOC,Northrop Grumman Corporation,Industrial Goods,178.1
NORD,NORD,Nord Anglia Education Inc.,Services,103.41
NQ,NQ,NQ Mobile Inc.(网秦),Technology,95.28
NRF,NRF,NorthStar Realty Finance Corp.,Financial,179.42
NRZ,NRZ,New Residential Investment Corp.,Financial,250.95
NSAM,NSAM,Northstar Asset Management Group Inc.,Financial,188.58
NSC,NSC,Norfolk Southern Corporation,Services,292.7
NSR,NSR,NeuStar Inc.,Technology,54.34
NTES,NTES,NetEase Inc.(网易),Technology,146.08
NTP,NTP,Nam Tai Property Inc.,Technology,37.18
NTRS,NTRS,Northern Trust Corporation,Financial,226.54
NUE,NUE,Nucor Corporation,Basic Materials,319.74
NUS,NUS,Nu Skin Enterprises Inc.,Consumer Goods,56.23
NVDA,NVDA,NVIDIA Corporation,Technology,552.29
NVFY,NVFY,Nova Lifestyle Inc.(诺华家具),Consumer Goods,24.12
NVO,NVO,Novo Nordisk A/S,Healthcare,2070
NWL,NWL,Newell Brands Inc.,Consumer Goods,501.83
NXPI,NXPI,NXP Semiconductors NV,Technology,348.48
NXST,NXST,Nexstar Broadcasting Group Inc.,Services,30.7
NYRT,NYRT,New York REIT Inc.,Financial,167.62
NYT,NYT,The New York Times Company,Services,156.87
O,O,Realty Income Corporation,Financial,264.98
OCLR,OCLR,Oclaro Inc.,Technology,174.19
ODFL,ODFL,Old Dominion Freight Line Inc.,Services,78.76
OFC,OFC,Corporate Office Properties Trust,Financial,94.43
OHI,OHI,Omega Healthcare Investors Inc.,Financial,198.62
OII,OII,Oceaneering International Inc.,Basic Materials,98.06
OIIM,OIIM,O2Micro International Ltd.(凹凸科技),Technology,25.29
OLED,OLED,Universal Display Corp.,Technology,46.59
OLLI,OLLI,Ollie's Bargain Outlet Holdings Inc.,Services,58.67
OMC,OMC,Omnicom Group Inc.,Services,237.17
ONB,ONB,Old National Bancorp.,Financial,134.49
ONP,ONP,Orient Paper Inc.(东方纸业),Consumer Goods,20.81
ORCL,ORCL,Oracle Corporation,Technology,4100
ORI,ORI,Old Republic International Corporation,Financial,260.16
ORLY,ORLY,O'Reilly Automotive Inc.,Services,95.31
OSN,OSN,Ossen Innovation Co. Ltd.(奥盛创新),Basic Materials,19.17
OSUR,OSUR,OraSure Technologies Inc.,Healthcare,55.65
OZRK,OZRK,Bank of the Ozarks Inc.,Financial,114.75
PACB,PACB,Pacific Biosciences of California Inc.,Healthcare,90.5
PACW,PACW,PacWest Bancorp,Financial,114.98
PAG,PAG,Penske Automotive Group Inc.,Services,82.38
PAGP,PAGP,Plains GP Holdings L.P.,Basic Materials,668.12
PAH,PAH,Platform Specialty Products Corporation,Basic Materials,276.24
PAYC,PAYC,Paycom Software Inc.,Technology,64.62
PAYX,PAYX,Paychex Inc.,Services,356.36
PBCT,PBCT,People's United Financial Inc.,Financial,303.32
PBI,PBI,Pitney Bowes Inc.,Consumer Goods,185.6
PCAR,PCAR,PACCAR Inc.,Consumer Goods,351
PCRX,PCRX,Pacira Pharmaceuticals Inc.,Healthcare,37.31
PDM,PDM,Piedmont Office Realty Trust Inc.,Financial,149.84
PEB,PEB,Pebblebrook Hotel Trust,Financial,71.7
PEG,PEG,Public Service Enterprise Group Inc.,Utilities,513.37
PENN,PENN,Penn National Gaming Inc.,Services,81.53
PF,PF,Pinnacle Foods Inc.,Consumer Goods,130.76
PFE,PFE,Pfizer Inc.,Healthcare,5820
PFG,PFG,Principal Financial Group Inc.,Financial,288.1
PGNX,PGNX,Progenics Pharmaceuticals Inc.,Healthcare,69.45
PGR,PGR,Progressive Corp.,Financial,581.5
PHM,PHM,PulteGroup Inc.,Industrial Goods,319.23
PII,PII,Polaris Industries Inc.,Consumer Goods,59.7
PINC,PINC,Premier Inc.,Technology,142.15
PKG,PKG,Packaging Corporation of America,Consumer Goods,94.4
PKI,PKI,PerkinElmer Inc.,Healthcare,108.5
PLAY,PLAY,Dave & Buster's Entertainment Inc.,Services,41.87
PLD,PLD,Prologis Inc.,Financial,546.27
PLNT,PLNT,Planet Fitness Inc.,Services,94.95
PM,PM,Philip Morris International Inc.,Consumer Goods,1620
PME,PME,Pingtan Marine Enterprise Ltd.,Consumer Goods,74.3
PNC,PNC,The PNC Financial Services Group Inc.,Financial,490
PNM,PNM,PNM Resources Inc.,Utilities,81.03
PNRA,PNRA,Panera Bread Company,Services,23.21
PNW,PNW,Pinnacle West Capital Corporation,Utilities,113.08
PODD,PODD,Insulet Corporation,Healthcare,57.34
POR,POR,Portland General Electric Company,Utilities,90.41
PPC,PPC,Pilgrim's Pride Corporation,Consumer Goods,261.86
PPG,PPG,PPG Industries Inc.,Basic Materials,266.3
PPL,PPL,PPL Corporation,Utilities,689.28
PPS,PPS,Post Properties Inc.,Financial,54.85
PRU,PRU,Prudential Financial Inc.,Financial,435.9
PRXL,PRXL,PAREXEL International Corporation,Healthcare,52.8
PSA,PSA,Public Storage,Financial,175.64
PSX,PSX,Phillips 66,Basic Materials,525.99
PTLA,PTLA,Portola Pharmaceuticals Inc.,Healthcare,57.77
PTR,PTR,PetroChina Co. Ltd.(中石油),Basic Materials,2810
PUK,PUK,Prudential plc,Financial,1180
PVH,PVH,PVH Corp.,Consumer Goods,80.7
PVTB,PVTB,PrivateBancorp Inc.,Financial,79.49
PX,PX,Praxair Inc.,Basic Materials,285.86
Q,Q,Quintiles IMS Holdings Inc.,Healthcare,244.11
QCOM,QCOM,QUALCOMM Incorporated,Technology,1510
QKLS,QKLS,QKL Stores Inc.,Services,1.52
QUNR,QUNR,Qunar Cayman Islands Limited(去哪儿),Services,147.62
R,R,Ryder System Inc.,Services,52.95
RAD,RAD,Rite Aid Corporation,Services,1040
RAI,RAI,Reynolds American Inc.,Consumer Goods,1480
RBA,RBA,Ritchie Bros. Auctioneers Incorporated,Services,106.62
RCL,RCL,Royal Caribbean Cruises Ltd.,Services,211
RCON,RCON,Recon Technology Ltd.(研控科技),Basic Materials,6.25
RDN,RDN,Radian Group Inc.,Financial,214.39
REG,REG,Regency Centers Corporation,Financial,105.26
REGN,REGN,Regeneron Pharmaceuticals Inc.,Healthcare,104.33
REN,REN,Resolute Energy Corporation,Basic Materials,18.85
RENN,RENN,Renren Inc.(人人公司),Technology,342.1
RF,RF,Regions Financial Corporation,Financial,1250
RGC,RGC,Regal Entertainment Group,Services,162.96
RH,RH,Restoration Hardware Holdings Inc.,Services,40.65
RHI,RHI,Robert Half International Inc.,Services,127.62
RHT,RHT,Red Hat Inc.,Technology,179.27
RJF,RJF,Raymond James Financial Inc.,Financial,137.33
RLGY,RLGY,Realogy Holdings Corp.,Financial,146.67
RLJ,RLJ,RLJ Lodging Trust,Financial,122.58
RMBS,RMBS,Rambus Inc.,Technology,111.34
RMD,RMD,ResMed Inc.,Healthcare,140.79
ROIC,ROIC,Retail Opportunity Investments Corp.,Financial,111.42
ROK,ROK,Rockwell Automation Inc.,Industrial Goods,129.8
ROP,ROP,Roper Technologies Inc.,Industrial Goods,99.82
ROST,ROST,Ross Stores Inc.,Services,394.2
RPAI,RPAI,Retail Properties of America Inc.,Financial,238.33
RPM,RPM,RPM International Inc.,Basic Materials,133.22
RPT,RPT,Ramco-Gershenson Properties Trust,Financial,78.94
RS,RS,Reliance Steel & Aluminum Co.,Basic Materials,71.14
RSG,RSG,Republic Services Inc.,Industrial Goods,342.6
RTN,RTN,Raytheon Company,Industrial Goods,295.2
RTRX,RTRX,Retrophin Inc.,Healthcare,36.16
RXN,RXN,Rexnord Corporation,Industrial Goods,102.73
RY,RY,Royal Bank of Canada,Financial,1480
SABR,SABR,Sabre Corporation,Technology,277.37
SAFM,SAFM,Sanderson Farms Inc.,Consumer Goods,23.17
SAP,SAP,SAP SE,Technology,1260
SAVE,SAVE,Spirit Airlines Inc.,Services,69.73
SBAC,SBAC,SBA Communications Corp.,Technology,129.05
SBGI,SBGI,Sinclair Broadcast Group Inc.,Services,91.69
SBGL,SBGL,Sibanye Gold Limited,Basic Materials,260.97
SBH,SBH,Sally Beauty Holdings Inc.,Services,145.96
SBNY,SBNY,Signature Bank,Financial,53.68
SBUX,SBUX,Starbucks Corporation,Services,1490
SC,SC,Santander Consumer USA Holdings Inc.,Financial,338.2
SCG,SCG,SCANA Corp.,Utilities,145.07
SCHW,SCHW,The Charles Schwab Corporation,Financial,1270
SCI,SCI,Service Corporation International,Services,193.19
SCS,SCS,Steelcase Inc.,Consumer Goods,116.69
SCSS,SCSS,Select Comfort Corporation,Consumer Goods,45.62
SCTY,SCTY,SolarCity Corporation,Technology,100.62
SEAS,SEAS,SeaWorld Entertainment Inc.,Services,85.22
SEDG,SEDG,SolarEdge Technologies Inc.,Technology,41.19
SEE,SEE,Sealed Air Corporation,Consumer Goods,192.57
SEED,SEED,Origin Agritech Limited(奥瑞金种业),Consumer Goods,23.14
SEIC,SEIC,SEI Investments Co.,Financial,160.89
SEM,SEM,Select Medical Holdings Corporation,Healthcare,130.63
SEMG,SEMG,SemGroup Corporation,Basic Materials,65.6
SEP,SEP,Spectra Energy Partners LP,Basic Materials,316.09
SFM,SFM,Sprouts Farmers Market Inc.,Services,137.89
SFUN,SFUN,Fang Holdings Limited(搜房网),Technology,479.25
SGOC,SGOC,SGOCO Group Ltd.(上为),Consumer Goods,7.08
SHI,SHI,Sinopec Shanghai Petrochemical Co. Ltd.(上石化),Basic Materials,162.17
SHO,SHO,Sunstone Hotel Investors Inc.,Financial,215.41
SHOR,SHOR,ShoreTel Inc.,Technology,68.44
SHPG,SHPG,Shire plc,Healthcare,288.46
SHW,SHW,The Sherwin-Williams Company,Basic Materials,90.36
SIG,SIG,Signet Jewelers Limited,Services,77.1
SIMO,SIMO,Silicon Motion Technology Corp.(慧荣科技),Technology,35.74
SINA,SINA,SINA Corporation(新浪),Technology,73.29
SINO,SINO,Sino-Global Shipping America Ltd.(中环球船务),Services,7.33
SIVB,SIVB,SVB Financial Group,Financial,52.05
SJM,SJM,The J. M. Smucker Company,Consumer Goods,119.81
SKBI,SKBI,Skystar Bio Pharmaceutical Company,Healthcare,8.7
SKT,SKT,Tanger Factory Outlet Centers Inc.,Financial,95.04
SKX,SKX,Skechers U.S.A. Inc.,Consumer Goods,156.33
SKYS,SKYS,Sky Solar Holdings Ltd.(天华阳光),Utilities,48.11
SLCA,SLCA,U.S. Silica Holdings Inc.,Basic Materials,74.06
SMI,SMI,Semiconductor Manufacturing International Corp.(中芯国际),Technology,798.09
SNE,SNE,Sony Corporation,Consumer Goods,1220
SNI,SNI,Scripps Networks Interactive Inc.,Services,126.2
SNP,SNP,China Petroleum & Chemical Corp.(中石化),Basic Materials,1240
SNV,SNV,Synovus Financial Corporation,Financial,122.92
SO,SO,Southern Company,Utilities,1010
SOHU,SOHU,Sohu.com Inc.(搜狐),Technology,39.5
SOL,SOL,ReneSola Ltd.(昱辉阳光),Technology,108.22
SONC,SONC,Sonic Corp.,Services,45.16
SORL,SORL,SORL Auto Parts Inc.(瑞立集团),Consumer Goods,19
SPG,SPG,Simon Property Group Inc.,Financial,311.63
SPGI,SPGI,S&P Global Inc.,Services,262.9
SPIL,SPIL,Siliconware Precision Industries Co. Ltd.(矽品),Technology,635.61
SPR,SPR,Spirit AeroSystems Holdings Inc.,Industrial Goods,121.83
SPU,SPU,SkyPeople Fruit Juice Inc.(天人果汁),Consumer Goods,3.33
SRC,SRC,Spirit Realty Capital Inc.,Financial,519.39
SRCL,SRCL,Stericycle Inc.,Industrial Goods,84.31
SRE,SRE,Sempra Energy,Utilities,256.31
SSNC,SSNC,SS&C Technologies Holdings Inc.,Technology,209.06
SSW,SSW,Seaspan Corporation(西斯班),Services,104.13
ST,ST,Sensata Technologies Holding NV,Technology,170.84
STI,STI,SunTrust Banks Inc.,Financial,496.3
STJ,STJ,St. Jude Medical Inc.,Healthcare,283.85
STL,STL,Sterling Bancorp.,Financial,130.24
STRZA,STRZA,Starz,Services,97.73
STT,STT,State Street Corporation,Financial,388.36
STV,STV,China Digital TV Holding Co. Ltd.(永新视博),Technology,62.01
STWD,STWD,Starwood Property Trust Inc.,Financial,243.11
STZ,STZ,Constellation Brands Inc.,Consumer Goods,202.32
SUN,SUN,Sunoco LP,Basic Materials,121.33
SUPN,SUPN,Supernus Pharmaceuticals Inc.,Healthcare,48.9
SVA,SVA,Sinovac Biotech Ltd.(科兴生物),Healthcare,56.91
SWFT,SWFT,Swift Transportation Company,Services,131.87
SWHC,SWHC,Smith & Wesson Holding Corporation,Industrial Goods,61.76
SWK,SWK,Stanley Black & Decker Inc.,Industrial Goods,144.46
SWKS,SWKS,Skyworks Solutions Inc.,Technology,191.82
SYF,SYF,Synchrony Financial,Financial,828
SYK,SYK,Stryker Corporation,Healthcare,381.71
SYNA,SYNA,Synaptics Inc.,Technology,36.37
SYNT,SYNT,Syntel Inc.,Technology,83.26
SYUT,SYUT,Synutra International Inc.(圣元国际),Consumer Goods,63.52
TANH,TANH,Tantech Holdings Ltd,Basic Materials,23
TASR,TASR,TASER International Inc.,Industrial Goods,52.21
TD,TD,The Toronto-Dominion Bank,Financial,1830
TECD,TECD,Tech Data Corp.,Services,35.87
TEDU,TEDU,Tarena International Inc.(达内科技),Services,57.71
TEL,TEL,TE Connectivity Ltd.,Technology,351.18
TEN,TEN,Tenneco Inc.,Consumer Goods,53.9
TEX,TEX,Terex Corporation,Industrial Goods,103.83
TGT,TGT,Target Corp.,Services,582.2
THO,THO,Thor Industries Inc.,Consumer Goods,51.71
THS,THS,Treehouse Foods Inc.,Consumer Goods,60.17
TIF,TIF,Tiffany & Co.,Services,125.3
TJX,TJX,The TJX Companies Inc.,Services,658.12
TK,TK,Teekay Corporation,Services,72.6
TMH,TMH,Team Health Holdings Inc.,Services,74.17
TMO,TMO,Thermo Fisher Scientific Inc.,Healthcare,394.7
TOL,TOL,Toll Brothers Inc.,Industrial Goods,154.07
TOUR,TOUR,Tuniu Corporation(途牛),Consumer Goods,129.35
TPH,TPH,TRI Pointe Group Inc.,Industrial Goods,157.93
TRGP,TRGP,Targa Resources Corp.,Basic Materials,182.9
TRI,TRI,Thomson Reuters Corporation,Services,733.78
TRIP,TRIP,TripAdvisor Inc.,Technology,147.91
TRMB,TRMB,Trimble Inc.,Technology,253.81
TRN,TRN,Trinity Industries Inc.,Services,143.59
TROW,TROW,T. Rowe Price Group Inc.,Financial,236.72
TRV,TRV,The Travelers Companies Inc.,Financial,286
TSCO,TSCO,Tractor Supply Company,Services,133.39
TSE,TSE,Trinseo SA,Consumer Goods,45.87
TSEM,TSEM,Tower Semiconductor Ltd.,Technology,86.4
TSL,TSL,Trina Solar Limited(天合光能),Technology,91.75
TSM,TSM,Taiwan Semiconductor Manufacturing Company Limited(台积电),Technology,5120
TSN,TSN,Tyson Foods Inc.,Consumer Goods,385.65
TSO,TSO,Tesoro Corporation,Basic Materials,118.2
TSS,TSS,Total System Services Inc.,Financial,186.58
TTC,TTC,The Toro Company,Industrial Goods,109.34
TV,TV,Grupo Televisa S.A.B.,Services,652.71
TVPT,TVPT,Travelport Worldwide Limited,Consumer Goods,124.41
TWX,TWX,Time Warner Inc.,Services,773.54
TXN,TXN,Texas Instruments Inc.,Technology,1010
TXRH,TXRH,Texas Roadhouse Inc.,Services,66.92
TXT,TXT,Textron Inc.,Industrial Goods,270.56
UA,UA,Under Armour Inc.,Consumer Goods,398.79
UAL,UAL,United Continental Holdings Inc.,Services,318.29
UDR,UDR,UDR Inc.,Financial,273.93
UGI,UGI,UGI Corporation,Utilities,186.43
UGP,UGP,Ultrapar Participacoes S.A.,Basic Materials,615.12
UHS,UHS,Universal Health Services Inc.,Healthcare,96.02
UL,UL,Unilever PLC,Consumer Goods,3100
ULTA,ULTA,ULTA Salon Cosmetics & Fragrance Inc.,Services,62.3
UMC,UMC,United Microelectronics Corporation(联电),Technology,2550
UMPQ,UMPQ,Umpqua Holdings Corporation,Financial,220.29
UN,UN,Unilever N.V.,Consumer Goods,3110
UNFI,UNFI,United Natural Foods Inc.,Services,49.66
