40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
RW0U.SI,RW0U,Mapletree GCC Tr,--
S05.SI,S05,Sim Lian,--
S07.SI,S07,Shangri-La HKD,--
S08.SI,S08,SingPost,--
S10.SI,S10,Super Group,--
S13.SI,S13,SP Corp,--
S19.SI,S19,SingShipping,--
S20.SI,S20,Straits Trading,--
S21.SI,S21,Genting HK US$,--
S23.SI,S23,Spura Finance,--
S24.SI,S24,STATS ChipPAC,--
S29.SI,S29,Stamford Tyres,--
S2D.SI,S2D,Tosei,--
S35.SI,S35,Sing Inv &amp; Fin,--
S3N.SI,S3N,OKH Global,--
S41.SI,S41,Hong Leong Fin,--
S44.SI,S44,EnGro,--
S45U.SI,S45U,SingIndexFund,--
S46.SI,S46,San Teh,--
S49.SI,S49,SingReinsurance,--
S51.SI,S51,Sembcorp Marine,--
S53.SI,S53,SMRT,--
S56.SI,S56,SamuderaShipping,--
S58.SI,S58,SATS,--
S59.SI,S59,SIA Engineering,--
S61.SI,S61,SBS Transit,--
S63.SI,S63,ST Engineering,--
S68.SI,S68,SGX,--
S69.SI,S69,Serial System,--
S6NU.SI,S6NU,Croesus RTrust,--
S71.SI,S71,Sunright,--
S73.SI,S73,StratechSystems^,--
S7OU.SI,S7OU,Asian Pay Tv Tr,--
S7P.SI,S7P,Soilbuild Const,--
S85.SI,S85,Straco,--
S91.SI,S91,AliPictures HKD,--
S9B.SI,S9B,TEE Land,--
SK3.SI,SK3,KrisEnergy,--
SK6U.SI,SK6U,SPHREIT,--
SK7.SI,SK7,OUE HTrust,--
SO7.SI,SO7,YZJ Shipbldg RMB,--
SV3U.SI,SV3U,SoilbuildBizReit,--
T03.SI,T03,Tat Hong,--
T04.SI,T04,Thakral,--
T06.SI,T06,Tiong Woon,--
T08.SI,T08,Tye Soon,--
T09.SI,T09,TT Intl,--
T12.SI,T12,Tat Seng Pkg,--
T13.SI,T13,RH PetroGas,--
T14.SI,T14,Tianjin ZX USD,--
T15.SI,T15,TCIL HK$,--
T16.SI,T16,China Dairy,--
T18.SI,T18,TPV Tech,--
T19.SI,T19,Transcorp,--
T20.SI,T20,Scintronix^,--
T24.SI,T24,Tuan Sing,--
T28.SI,T28,Teledata^,--
T35.SI,T35,Sunningdale Tech,--
T39.SI,T39,SPH,--
T41.SI,T41,TeleChoice Intl,--
T42.SI,T42,China Auto Elec,--
T43.SI,T43,Techcomp,--
T4B.SI,T4B,Sino Grandness,--
T4E.SI,T4E,Compact Metal,--
T55.SI,T55,TIH,--
T6I.SI,T6I,ValueMax,--
T77.SI,T77,Southern Pkg,--
T82U.SI,T82U,Suntec Reit,--
T8B.SI,T8B,Viva Ind Tr,--
T8JU.SI,T8JU,Saizen Reit,--
T8V.SI,T8V,Pacific Radiance,--
TF7.SI,TF7,AAT,--
TI6.SI,TI6,Linc Energy,--
TO9.SI,TO9,Pan Ocean,--
TQ5.SI,TQ5,Frasers Cpt,--
TS0U.SI,TS0U,OUE Com Reit,--
TY3.SI,TY3,Maiwai Fund USD S,--
U01.SI,U01,United Food,--
U04.SI,U04,United Engineers,--
U06.SI,U06,UIC,--
U09.SI,U09,UPP,--
U10.SI,U10,UOB Kay Hian,--
U11.SI,U11,UOB,--
U13.SI,U13,UOI,--
U14.SI,U14,UOL,--
U18.SI,U18,Captii,--
U19.SI,U19,United Envtech,--
U6C.SI,U6C,POSH,--
U77.SI,U77,Sarine Tech,--
U96.SI,U96,Sembcorp Ind,--
U9E.SI,U9E,HanKoreEnv,--
UD1U.SI,UD1U,IREIT Global,--
UD2.SI,UD2,Japfa,--
UD3.SI,UD3,PterisGlobal,--
UQ3.SI,UQ3,JB Foods 500,--
UQ4.SI,UQ4,EMAS Offshore,--
UQ7.SI,UQ7,BlueSkyPower,--
UR9.SI,UR9,Yuexiu Prop 10,--
UV1.SI,UV1,Regal Intl,--
UV2.SI,UV2,Regal Intl 333,--
V01.SI,V01,VICOM,--
V03.SI,V03,Venture,--
V69.SI,V69,Union Steel,--
W05.SI,W05,Wing Tai,--
W12.SI,W12,Willas-Array,--
W81.SI,W81,Universal Res,--
X04.SI,X04,AusNet Services,--
X06.SI,X06,Sinopipe,--
X27.SI,X27,Shanghai Turbo,--
X64.SI,X64,Star Pharm,--
Y02.SI,Y02,Yongnam,--
Y03.SI,Y03,Yeo Hiap Seng,--
Y06.SI,Y06,Green Build^,--
Y07.SI,Y07,GlobalYellowPgs,--
Y08.SI,Y08,YHI Intl,--
Y34.SI,Y34,China Mining,--
Y35.SI,Y35,CEFC Intl,--
Y45.SI,Y45,SingWindsor,--
Y92.SI,Y92,ThaiBev,--
Z01.SI,Z01,Zagro Asia,--
Z25.SI,Z25,Yanlord Land,--
Z59.SI,Z59,Yoma Strategic,--
Z74.SI,Z74,SingTel,--
Z77.SI,Z77,SingTel 10,--
Z78.SI,Z78,SingTel 100,--
