40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
5OC.SI,5OC,Koyo Intl,--
5OF.SI,5OF,E2-Capital,--
5OI.SI,5OI,Japan Foods,--
5OQ.SI,5OQ,Teho Intl,--
5OR.SI,5OR,Heatec Jietong,--
5OS.SI,5OS,Jubilee Ind,--
5OT.SI,5OT,SingMedical,--
5OU.SI,5OU,China Env,--
5OX.SI,5OX,Mary Chia,--
5OY.SI,5OY,Brooke Asia,--
5PC.SI,5PC,Goodland,--
5PD.SI,5PD,Hengyang Petro,--
5PF.SI,5PF,Jason Marine,--
5PI.SI,5PI,Plato Capital,--
5PL.SI,5PL,SBI Offshore,--
5PO.SI,5PO,Hiap Tong,--
5QR.SI,5QR,Mann Seng Metal,--
5QT.SI,5QT,Charisma Energy,--
5QY.SI,5QY,Net Pacific Fin,--
5RA.SI,5RA,APAC Strategic,--
5RC.SI,5RC,ES,--
5RE.SI,5RE,Smartflex,--
5RF.SI,5RF,CCFH,--
5RJ.SI,5RJ,WE,--
5SO.SI,5SO,Duty Free Intl,--
5SR.SI,5SR,Zhongmin Baihui,--
5SY.SI,5SY,Chew&#x27;s,--
5TF.SI,5TF,Junma Tyre Cord,--
5TG.SI,5TG,800 Super,--
5TI.SI,5TI,Kitchen Culture,--
5TJ.SI,5TJ,Far East,--
5TN.SI,5TN,IEV,--
5TP.SI,5TP,CNMC Goldmine,--
5TR.SI,5TR,Libra,--
5TS.SI,5TS,JK Tech,--
5TT.SI,5TT,Keong Hong,--
5TW.SI,5TW,ChasWood Res,--
5TY.SI,5TY,Advanced Systems,--
5UA.SI,5UA,Starland,--
5UE.SI,5UE,SHC Capital Asia,--
5UF.SI,5UF,Maxi-Cash Fin,--
5UJ.SI,5UJ,Neo,--
5UL.SI,5UL,Atlantic Nav,--
5UN.SI,5UN,Sincap,--
5UO.SI,5UO,Sysma,--
5UV.SI,5UV,P99,--
5UX.SI,5UX,Oxley,--
5UZ.SI,5UZ,DeClout,--
5VC.SI,5VC,Kori,--
5VI.SI,5VI,Logistics,--
5VJ.SI,5VJ,Halcyon Agri,--
5VP.SI,5VP,GDS Global,--
5VS.SI,5VS,Hafary,--
5VT.SI,5VT,EuNetworks,--
5VU.SI,5VU,Elektromotive,--
5WA.SI,5WA,IHC,--
5WD.SI,5WD,PS Group,--
5WE.SI,5WE,Moya Asia,--
5WF.SI,5WF,ISOTeam,--
5WG.SI,5WG,SingaporeKitchen,--
5WH.SI,5WH,Rex Intl,--
5WJ.SI,5WJ,MoneyMax Fin,--
5WR.SI,5WR,Xyec,--
5WV.SI,5WV,AsiaPhos,--
600.SI,600,Hyflux,--
A01.SI,A01,Acma,--
A02.SI,A02,Achieva,--
A04.SI,A04,ASL Marine,--
A05.SI,A05,AVJennings A$,--
A0P.SI,A0P,AIMS Property,--
A10.SI,A10,AEM,--
A13.SI,A13,Allied Tech^,--
A17U.SI,A17U,Ascendas Reit,--
A18.SI,A18,AEI,--
A23.SI,A23,Auric Pacific,--
A26.SI,A26,Sinarmas Land,--
A27.SI,A27,MDR,--
A30.SI,A30,Aspial,--
A31.SI,A31,Addvalue Tech,--
A33.SI,A33,Blumont,--
A34.SI,A34,Amara,--
A50.SI,A50,Rowsley,--
A52.SI,A52,AnnAik,--
A53.SI,A53,A-Sonic Aero,--
A54.SI,A54,AIM,--
A55.SI,A55,Asia Enterprises,--
A59.SI,A59,Action Asia,--
A68U.SI,A68U,Ascott Reit,--
A69.SI,A69,Azeus,--
A6F.SI,A6F,Unionmet,--
A75.SI,A75,Ace Achieve Info,--
A78.SI,A78,LionGold,--
A7RU.SI,A7RU,CitySpring Trust,--
A7S.SI,A7S,SunVic Chemical,--
AAJ.SI,AAJ,SunMoonFood,--
ACV.SI,ACV,Frasers HTrust,--
ACW.SI,ACW,Chiwayland Intl,--
AD7.SI,AD7,China Bearing,--
AD8.SI,AD8,Sino Techfibre,--
ADJ.SI,ADJ,OLS^,--
ADN.SI,ADN,First Sponsor,--
ADP.SI,ADP,Swissco Hldg,--
ADQU.SI,ADQU,Accordia Golf Tr,--
AFC.SI,AFC,Yuuzoo,--
AGS.SI,AGS,TheHourGlass,--
AI1.SI,AI1,Texchem-Pack^,--
AJ2.SI,AJ2,Ouhua Energy^,--
AK3.SI,AK3,Swiber,--
AP4.SI,AP4,Riverstone,--
AU8U.SI,AU8U,CapitaR China Tr,--
AW9U.SI,AW9U,First Reit,--
B03.SI,B03,BRC Asia,--
B07.SI,B07,Next-Gen Sat^,--
B08.SI,B08,B&amp;M Trustees,--
B0I.SI,B0I,Foreland FabriT,--
B0Z.SI,B0Z,China Fishery,--
B10.SI,B10,Boardroom,--
B16.SI,B16,GuocoLeisure,--
B1N.SI,B1N,Delong,--
B1ZU.SI,B1ZU,RickmersMaritime,--
B20.SI,B20,Biosensors,--
B26.SI,B26,Ban Leong,--
B28.SI,B28,Bonvests,--
B2F.SI,B2F,M1,--
B2X.SI,B2X,China Yuanbang,--
B32.SI,B32,BH Global,--
B49.SI,B49,World Precision,--
B58.SI,B58,Banyan Tree,--
B61.SI,B61,Bukit Sembawang,--
B66.SI,B66,Berlian LajuTank,--
B69.SI,B69,Broadway Ind,--
B73.SI,B73,Global Inv,--
B7K.SI,B7K,Sin Ghee Huat,--
B9S.SI,B9S,CosmoSteel,--
BN2.SI,BN2,Valuetronics,--
BN4.SI,BN4,Keppel Corp,--
BR9.SI,BR9,China Hongxing,--
BS6.SI,BS6,YZJ Shipbldg SGD,--
C03.SI,C03,CMProp HKD,--
C04.SI,C04,Casa,--
C05.SI,C05,Chemical Ind,--
C06.SI,C06,CSC,--
C07.SI,C07,Jardine C&amp;C,--
C09.SI,C09,CityDev,--
C0Z.SI,C0Z,China Hongcheng^,--
C10.SI,C10,Chosen,--
C11.SI,C11,CEI Contract Mfg,--
C13.SI,C13,CH Offshore,--
C14.SI,C14,CWT,--
C22.SI,C22,CMPacific,--
C29.SI,C29,Chip Eng Seng,--
C2J.SI,C2J,Sunmart,--
C2PU.SI,C2PU,ParkwayLife Reit,--
C31.SI,C31,CapitaLand,--
C33.SI,C33,Chuan Hup,--
C37.SI,C37,China Intl,--
C38U.SI,C38U,CapitaMall Trust,--
C3T.SI,C3T,Uni-Asia,--
C41.SI,C41,Cortina,--
C4P.SI,C4P,LH,--
C50.SI,C50,Cheung Woh,--
C52.SI,C52,ComfortDelGro,--
C56.SI,C56,Celestial Nutri,--
C59.SI,C59,China Flexpack,--
