C22.SI,CM PACIFIC
C03.SI,CM PROP HKD
42F.SI,CMC INFOCOMM
5GC.SI,CNA^
5TP.SI,CNMC GOLDMINE
KJ9.SI,COGENT
567.SI,COLEX
N0Z.SI,COMBINE WILL
C52.SI,COMFORT DEL GRO
5HT.SI,COMM DESIGN
T4E.SI,COMPACT METAL^
P8A.SI,CORDLIFE
C41.SI,CORTINA
F83.SI,COSCO
B9S.SI,COSMO STEEL
ATL.SI,COURAGE MARINE
RE2.SI,COURTS ASIA
539.SI,CPH
541.SI,CRAFT PRINT
C76.SI,CREATIVE
S6NU.SI,CROESUS RTRUST
C06.SI,CSC
544.SI,CSE GLOBAL
C14.SI,CWT
D01.SI,DAIRYFARM USD
FP1.SI,DAPAI INTL^
5CB.SI,DARCO WATER TECH
D04.SI,DATAPULSE TECH
D05.SI,DBS
K2M.SI,DEBAO PROPERTY
5UZ.SI,DECLOUT
D03.SI,DEL MONTE PAC
B1N.SI,DELONG
D11.SI,DESIGN STUDIO
G77.SI,DIGILAND INTL
5CH.SI,DMX TECHNOLOGIES
MT1.SI,DRAGON^
GJ8.SI,DUKANG
CZ4.SI,DUTECH
5SO.SI,DUTY FREE INTL
NO4.SI,DYNA-MAC
D6U.SI,DYNAMIC COLOURS
5OF.SI,E2-CAPITAL
5KU.SI,EASTERN
N0L.SI,EASTGATE TECH
5CT.SI,ECOWISE
5HG.SI,EDITION
E16.SI,ELEC & ELTEK USD
5VU.SI,ELEKTROMOTIVE
E13.SI,ELLIPSIZ
UQ4.SI,EMAS OFFSHORE
5DE.SI,EMS ENERGY
S44.SI,ENGRO
5FR.SI,ENVICTUS
L23.SI,ENVIRO-HUB
5MQ.SI,EPICENTRE
532.SI,EQUATION
FO8.SI,ERATAT LIFESTYLE
5RC.SI,ES
E02.SI,EU YAN SANG
E27.SI,EUCON^
E23.SI,EUROPTRONIC^
5G1.SI,EUROSPORTS GBL
BDF.SI,EXCELPOINT TECH
5ME.SI,EZION
5DN.SI,EZRA
F99.SI,F & N
I54.SI,FABCHEM CHINA
5FL.SI,FALCON ENERGY
5TJ.SI,FAR EAST
Q5T.SI,FAR EAST HTRUST
O10.SI,FAR EAST ORCHARD
BDU.SI,FEDERAL INT
F12.SI,FIBRECHEM TECH
5F4.SI,FIGTREE
AW9U.SI,FIRST REIT
EB5.SI,FIRST RESOURCES
ADN.SI,FIRST SPONSOR
F22.SI,FISCHER TECH
F10.SI,FJ BENJAMIN
F03.SI,FOOD EMPIRE
B0I.SI,FORELAND FABRIT
F25U.SI,FORTUNE REIT HKD
F31.SI,FRAGRANCE
ND8U.SI,FRASERS COM TR
TQ5.SI,FRASERS CPT
J69U.SI,FRASERS CPT TR
ACV.SI,FRASERS HTRUST
E28.SI,FRENCKEN
D8DU.SI,FSL TRUST
F13.SI,FU YU
508.SI,FUJI OFFSET
5KT.SI,FUJIAN ZHENYUN
F18.SI,FULL APEX
F11.SI,FUNG CHOI MEDIA
QS9.SI,G INVACOM
G41.SI,G K GOH
5IG.SI,GALLANT VENTURE
RF7.SI,GAYLIN
41T.SI,GCCP
5VP.SI,GDS GLOBAL
S21.SI,GENTING HK US$
G13.SI,GENTING SING
RE4.SI,GEO ENERGY RES
595.SI,GKE
B73.SI,GLOBAL INV
MC0.SI,GLOBAL LOGISTIC
K6J.SI,GLOBAL PALM RES
G11.SI,GLOBAL TECH
AYN.SI,GLOBAL TESTING
AWS.SI,GLOBALYELLOW PGS
AXJ.SI,GMG GLOBAL
E5H.SI,GOLDEN AGRI-RES
AUE.SI,GOLDEN ENERGY
5PC.SI,GOODLAND
G08.SI,GP BATTERIES
P9J.SI,GP HOTELS
G20.SI,GP INDUSTRIES
G50.SI,GRAND BANKS
G07.SI,GREAT EASTERN
I5H.SI,GREAT GROUP^
Y06.SI,GREEN BUILD
G18.SI,GRP
J16.SI,GSH
41F.SI,GSS ENERGY
F17.SI,GUOCOLAND
B16.SI,GUOCOLEISURE
5VS.SI,HAFARY
GG7.SI,HAI LECK
5VJ.SI,HALCYON AGRI
DM0.SI,HANWELL
H02.SI,HAW PAR
5NG.SI,HEALTHWAY MED
5OR.SI,HEATEC JIETONG
5DP.SI,HEETON
I85.SI,HENGXIN TECH
5PD.SI,HENGYANG PETRO
526.SI,HG METAL
H17.SI,HI-P
5JK.SI,HIAP HOE
510.SI,HIAP SENG
5PO.SI,HIAP TONG
AVX.SI,HL GLOBAL ENT^
H27.SI,HLH
588.SI,HMI
H13.SI,HO BEE LAND
J2T.SI,HOCK LIAN SENG
H20.SI,HOE LEONG
H30.SI,HONG FOK
H22.SI,HONG LEONG ASIA
S41.SI,HONG LEONG FIN
H78.SI,HONGKONGLAND USD
BBP.SI,HOR KEW
5EV.SI,HOSEN
H18.SI,HOTEL GRAND
H12.SI,HOTEL ROYAL
NT1.SI,HOTUNG INV
NS8U.SI,HPH TRUST USD
H15.SI,HPL
H64.SI,HTL INTL
KI3.SI,HU AN CABLE
H16.SI,HUANHSIN^
41B.SI,HUATIONG GLOBAL
H73.SI,HUP STEEL
H19.SI,HWA HONG
600.SI,HYFLUX
5I4.SI,ICP LTD
5TN.SI,IEV
AIY.SI,IFAST
I49.SI,IFS CAPITAL
5WA.SI,IHC
Q0F.SI,IHH
I4R.SI,INCH KENNETH
F3EU.SI,INDIABULLS TRUST
5JS.SI,INDOFOOD AGRI
5G4.SI,INFINIO
I03.SI,INFORMATICS
I26.SI,INNOPAC
M14.SI,INNOTEK
591.SI,INNOVALUES
M1P.SI,INTERPLEX
5GI.SI,INTERRA RESOURCE
I06.SI,INTRACO
571.SI,IP SOFTCOM
AZA.SI,IPC CORP
I11.SI,IPCO INTL
41E.SI,IPSSECUREX
UD1U.SI,IREIT GLOBAL
I07.SI,ISDN
40T.SI,ISEC
I15.SI,ISETAN
5WF.SI,ISOTEAM
5EC.SI,ISR CAPITAL
581.SI,ITE ELECTRIC
42C.SI,IX BIOPHARMA
BAC.SI,JACKS INTL
J17.SI,JACKSPEED
J03.SI,JADASON^
5OI.SI,JAPAN FOODS
UD2.SI,JAPFA
C07.SI,JARDINE C&C
5I3.SI,JASON HLDG
5PF.SI,JASON MARINE
FQ7.SI,JASPER INV^
J10.SI,JAYA
Q0W.SI,JB FOODS
5FA.SI,JEP
EG0.SI,JES INTL
C8R.SI,JIUTIAN CHEMICAL
J36.SI,JMH USD
E9L.SI,JOYAS INTL
J37.SI,JSH USD
5OS.SI,JUBILEE IND
K01.SI,K1 VENTURES
K29.SI,KARIN TECH
F9M.SI,KENCANA AGRI
5TT.SI,KEONG HONG
A7RU.SI,KEP INFRA TR FKA CIT
BN4.SI,KEPPEL CORP
AJBU.SI,KEPPEL DC REIT
K71U.SI,KEPPEL REIT
K11.SI,KEPPEL T&T
K03.SI,KHONG GUAN FLOUR
5G2.SI,KIMHENG OFFSHORE
554.SI,KING WAN
K14.SI,KINGBOARD COPPER
5MZ.SI,KINGSMEN CREATIVE
5TI.SI,KITCHEN CULTURE
504.SI,KLW
5BK.SI,KODA
K75.SI,KOH BROS
5HV.SI,KOH ECO
5DL.SI,KOON
5I1.SI,KOP
5VC.SI,KORI
5OC.SI,KOYO INTL
SK3.SI,KRISENERGY
578.SI,KS ENERGY
ER0.SI,KSH
EB7.SI,KTL GLOBAL
AYB.SI,LAFE CORP
L22.SI,LANKOM ELEC^
Q7W.SI,LANTROVISION
5EL.SI,LASSETERS INTL
L38.SI,LCD GLOBAL INV
LS9.SI,LEADER ENV
593.SI,LEE METAL
587.SI,LERENO BIO-CHEM
Q0X.SI,LEY CHOON
C4P.SI,LH
41O.SI,LHN
L10.SI,LHT
AXZ.SI,LI HENG CHEM
L03.SI,LIAN BENG
5TR.SI,LIBRA
L20.SI,LIFEBRANDZ
5FW.SI,LINAIR TECH
TI6.SI,LINC ENERGY
A78.SI,LIONGOLD
D5IU.SI,LIPPO MALLS TR
E94.SI,LIZHONG WHEEL
5VI.SI,LOGISTICS
L28.SI,LONGCHEER
O6Z.SI,LONZA
5IE.SI,LORENZO INTL
F1E.SI,LOW KENG HUAT
594.SI,LOYZ ENERGY
L17.SI,LTC CORP
L19.SI,LUM CHANG
L09.SI,LUNG KEE BERMUDA
L34.SI,LUXKING
L46.SI,LUZHOU BIO-CHEM
N14.SI,M DEVELOPMENT
B2F.SI,M1
M41.SI,MACQUARIE INTL
41S.SI,MAGNUS ENERGY
M04.SI,MAN ORIENTAL USD
L02.SI,MANHATTAN RES
N2IU.SI,MAPLETREE COM TR
RW0U.SI,MAPLETREE GCC TR
ME8U.SI,MAPLETREE IND TR
M44U.SI,MAPLETREE LOG TR
5LY.SI,MARCOPOLO MARINE
M12.SI,MARUWA YEN1K
5OX.SI,MARY CHIA
M15.SI,MATEX INTL^
5UF.SI,MAXI-CASH FIN
A27.SI,MDR
546.SI,MEDTECS INTL
5DS.SI,MEGACHEM
M30.SI,MEGHMANI SDS
5MS.SI,MEMSTAR TECH
M26.SI,MEMTECH INTL
5NF.SI,MENCAST
EE6.SI,MERCATOR LINES
5RF.SI,MERCURIUS
DU4.SI,MERMAID MARITIME
5DX.SI,METAL COMPONENT
QG1.SI,METECH INTL
M01.SI,METRO
MV4.SI,MEWAH INTL
M11.SI,MFG INTEGRATION
5BM.SI,MFS TECH
5DD.SI,MICRO-MECHANICS
5EN.SI,MIDAS
AWO.SI,MIRACHENERGY
M03.SI,MIYOSHI^
41C.SI,MM2 ASIA
F3V.SI,MMP RESOURCES
5WJ.SI,MONEYMAX FIN
5WE.SI,MOYA ASIA
40U.SI,MS HLDGS
NC9.SI,MSC
5QR.SI,MSM INTL
M05.SI,MTQ
AWZ.SI,MULTI-CHEM
MF6.SI,MUN SIONG ENGG
M20.SI,MURATA YEN1K
F86.SI,MYP
N4E.SI,NAM CHEONG
G0I.SI,NAM LEE METAL
5IF.SI,NATURAL COOL
42D.SI,NAUTICAWT
5UJ.SI,NEO
N01.SI,NERATEL
5QY.SI,NET PACIFIC FIN
N08.SI,NEW TOYO
5FX.SI,NEW WAVE
B07.SI,NEXT-GEN SAT^
5GF.SI,NICO STEEL
N32.SI,NIPPECRAFT^
