序号,代码,名称,最新价,涨跌幅,研报数,买入,增持,中性,减持,卖出,2015收益,2016收益,2016PE,2017收益,2017PE,2018收益,2018PE,预留1
2,000045,深纺织A,-,-,0,0,0,0,0,0,0.02,--,--,--,--,--,--,0.000,0.000,201608
2,000046,泛海控股,10.89,-1.00%,8,6,2,0,0,0,0.39,0.50,22.96,0.70,16.02,0.97,11.48,0.000,0.000,201608
2,000047,ST中侨,-,-,-,-,-,-,-,-,0.01,--,--,--,--,--,--,-,-,201608
2,000048,康达尔,36.23,-0.71%,0,0,0,0,0,0,0.52,--,--,--,--,--,--,0.000,0.000,201608
2,000049,德赛电池,38.80,1.17%,5,2,0,3,0,0,1.12,1.32,29.06,1.63,23.61,2.12,18.09,0.000,0.000,201608
2,000050,深天马A,18.72,-2.60%,18,9,9,0,0,0,0.40,0.51,38.13,0.69,28.88,1.01,20.14,0.000,0.000,201608
2,000055,方大集团,15.81,0.76%,8,5,3,0,0,0,0.14,0.87,21.63,1.29,22.59,0.55,30.13,0.000,0.000,201608
2,000056,皇庭国际,13.64,-4.48%,8,6,2,0,0,0,0.03,0.40,45.19,0.67,29.56,0.93,25.95,0.000,0.000,201608
2,000058,深赛格,11.07,-2.72%,3,3,0,0,0,0,0.09,0.12,94.83,0.15,75.87,0.18,63.22,0.000,0.000,201608
2,000059,华锦股份,9.21,-1.39%,8,7,1,0,0,0,0.21,0.90,11.03,0.99,10.00,1.13,8.46,0.000,0.000,201608
2,000060,中金岭南,10.81,-3.31%,4,1,3,0,0,0,0.09,0.16,71.61,0.18,72.41,0.12,93.17,0.000,0.000,201608
2,000061,农产品,12.78,-2.89%,1,1,0,0,0,0,0.012,0.020,639.000,0.030,426.000,0.040,319.500,0.000,0.000,2015
2,000062,深圳华强,25.53,-2.52%,4,4,0,0,0,0,0.52,0.58,45.64,0.68,38.95,0.77,34.07,0.000,0.000,201608
2,000063,中兴通讯,14.70,-1.28%,27,13,7,2,0,0,0.77,0.99,15.07,1.19,12.67,1.34,13.19,0.000,0.000,201608
2,000065,北方国际,34.48,-1.37%,12,10,2,0,0,0,0.80,1.04,33.69,1.33,26.36,1.72,20.49,0.000,0.000,201608
2,000066,长城电脑,11.98,-1.56%,11,5,5,0,0,0,-0.03,0.09,-29.78,0.14,162.25,0.26,151.92,0.000,0.000,201608
2,000068,华控赛格,9.27,-1.90%,17,8,9,0,0,0,0.007,0.136,68.312,0.321,28.843,0.538,17.221,0.000,0.000,2015
2,000069,华侨城A,7.32,0.00%,13,9,4,0,0,0,0.57,0.66,11.16,0.74,10.03,0.88,8.55,0.000,0.000,201608
2,000070,特发信息,26.21,0.61%,8,5,3,0,0,0,0.29,0.70,37.48,0.88,30.21,1.02,26.29,0.000,0.000,201608
2,000078,海王生物,7.11,0.14%,5,3,2,0,0,0,0.18,0.46,16.12,0.74,10.21,0.89,8.17,0.000,0.000,201608
2,000088,盐田港,7.28,-2.67%,0,0,0,0,0,0,0.22,--,--,--,--,--,--,0.000,0.000,201608
2,000089,深圳机场,9.11,-1.73%,25,12,10,3,0,0,0.25,0.35,29.44,0.42,24.16,0.50,20.92,0.000,0.000,201608
2,000090,天健集团,9.72,-3.86%,12,11,1,0,0,0,0.33,0.56,18.37,0.69,14.93,0.86,12.08,0.000,0.000,201608
2,000096,广聚能源,12.50,-3.18%,0,0,0,0,0,0,0.28,--,--,--,--,--,--,0.000,0.000,201608
2,000099,中信海直,13.07,-2.39%,10,4,4,2,0,0,0.28,0.32,44.38,0.37,38.71,0.45,33.07,0.000,0.000,201608
2,000100,TCL集团,-,-,13,6,3,4,0,0,0.21,0.20,18.30,0.25,15.41,0.29,13.41,0.000,0.000,201608
2,000150,宜华健康,32.33,-0.31%,3,1,2,0,0,0,0.12,2.19,14.99,0.63,51.99,0.77,42.43,0.000,0.000,201608
2,000151,中成股份,18.36,-2.65%,0,0,0,0,0,0,0.45,--,--,--,--,--,--,0.000,0.000,201608
2,000153,丰原药业,10.90,0.37%,0,0,0,0,0,0,0.10,--,--,--,--,--,--,0.000,0.000,201608
2,000155,*ST川化,-,-,0,0,0,0,0,0,-1.20,--,--,--,--,--,--,0.000,0.000,201608
2,000156,华数传媒,20.41,3.24%,1,1,0,0,0,0,0.37,0.44,44.93,0.49,40.35,0.52,38.02,0.000,0.000,201608
2,000157,中联重科,4.48,1.59%,10,5,4,0,0,0,0.01,0.08,64.09,0.13,36.47,0.18,28.17,0.000,0.000,201608
